our_best_permutation,wil_best,random,nr_checks_our_suggestion,nr_checks_wil,nr_checks_random,minimum_check_number
6838,3,6,2,1,3,2,1
6915,3,6,4,1,3,2,1
6950,3,6,1,1,3,3,1
6978,3,6,6,1,3,1,1
7059,3,6,1,1,3,3,1
7066,3,6,3,1,3,3,1
7094,3,6,2,1,3,2,1
7159,3,6,6,1,3,1,1
7245,3,6,5,1,3,1,1
7259,3,6,2,2,1,3,1
7276,3,6,3,3,3,3,3
7332,3,6,2,1,3,2,1
7360,3,6,5,3,3,3,3
7383,3,6,4,1,3,2,1
7411,3,6,2,1,3,2,1
7418,3,6,5,1,3,1,1
7425,3,6,3,1,3,3,1
7441,3,6,1,1,3,3,1
7448,3,6,6,1,3,1,1
7524,3,6,5,1,3,1,1
7531,3,6,5,1,3,1,1
7573,3,6,1,1,3,3,1
7643,3,6,1,1,3,3,1
7792,3,6,6,1,3,1,1
7813,3,6,5,1,3,1,1
7889,3,6,1,1,3,3,1
7945,3,6,6,1,3,1,1
8017,3,6,4,3,3,3,3
8079,3,6,1,1,3,3,1
8121,3,6,1,1,3,3,1
8206,3,6,3,1,3,3,1
8220,3,6,3,1,3,3,1
8304,3,6,6,3,3,3,3
8315,3,6,1,1,3,3,1
8329,3,6,3,1,3,3,1
8336,3,6,6,3,3,3,3
8347,3,6,3,1,3,3,1
8393,3,6,3,3,3,3,3
8407,3,6,2,1,3,2,1
8483,3,6,4,1,3,2,1
8508,3,6,6,1,3,1,1
8550,3,6,4,1,3,2,1
8587,3,6,2,3,3,3,3
8628,3,6,1,1,3,3,1
8671,3,6,4,1,3,2,1
8685,3,6,3,3,3,3,3
8721,3,6,6,1,3,1,1
8749,3,6,2,3,2,1,1
8756,3,6,6,1,3,1,1
8772,3,6,6,3,2,3,1
8799,3,6,4,1,3,2,1
8824,3,6,4,1,3,2,1
8831,3,6,4,1,3,2,1
8845,3,6,2,3,3,3,3
8898,3,6,2,1,3,2,1
8905,3,6,5,1,3,1,1
8919,3,6,2,1,3,2,1
8965,3,6,6,1,3,1,1
8986,3,6,3,1,3,3,1
8993,3,6,2,1,3,2,1
