our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
49,4,4,3,2,2,3,1
70,4,4,1,2,2,3,1
214,3,4,4,3,2,2,1
324,2,4,4,2,2,2,1
331,4,4,3,2,2,3,1
340,2,4,4,2,2,2,1
351,4,4,2,3,3,3,3
414,2,4,4,2,2,2,1
425,4,4,1,2,2,3,1
446,2,4,1,2,2,3,1
641,4,4,1,2,2,3,1
702,4,4,3,2,2,3,1
771,4,4,1,2,2,3,1
799,4,4,4,2,2,2,1
871,2,4,1,2,2,3,1
878,4,4,3,2,2,3,1
885,4,4,3,2,2,3,1
889,4,4,1,2,2,3,1
902,4,4,1,3,3,3,3
923,4,4,4,2,2,2,1
949,4,4,3,3,3,3,3
956,4,4,3,2,2,3,1
1012,3,4,4,3,2,2,1
1019,3,4,2,3,2,2,1
1026,4,4,4,3,3,3,3
1160,4,4,4,2,2,2,1
1167,4,4,4,2,2,2,1
1209,3,4,3,3,2,3,1
1244,4,4,4,3,3,3,3
1287,4,4,3,2,2,3,1
1301,4,4,4,2,2,2,1
1332,4,4,4,3,3,3,3
1358,3,4,4,3,3,3,3
1368,4,4,2,2,2,2,1
1396,2,4,3,2,2,3,1
1405,3,4,2,3,2,2,1
1476,4,4,3,3,3,3,3
1525,4,4,4,3,3,3,3
1534,4,4,4,3,3,3,3
1548,4,4,3,2,2,3,1
1624,1,4,3,3,3,3,3
1670,4,4,2,3,3,3,3
1733,4,4,1,2,2,3,1
1750,4,4,4,3,3,3,3
1764,4,4,2,3,3,3,3
1782,4,4,3,3,3,3,3
1789,1,4,1,3,3,3,3
1803,2,4,4,2,2,2,1
1838,2,4,4,3,3,3,3
1887,2,4,1,3,3,3,3
1929,4,4,2,3,3,3,3
1981,2,4,2,2,2,2,1
1988,2,4,4,2,2,2,1
2002,2,4,3,3,3,3,3
2030,2,4,1,3,3,3,3
2099,2,4,4,3,3,3,3
2154,2,4,2,3,3,3,3
2175,2,4,1,2,2,3,1
2182,2,4,1,3,3,3,3
2279,2,4,4,3,3,3,3
2321,4,4,2,3,3,3,3
2328,4,4,3,2,2,3,1
2342,4,4,2,3,3,3,3
2363,4,4,3,2,2,3,1
2370,4,4,1,2,2,3,1
2377,4,4,4,3,3,3,3
2405,4,4,1,3,3,3,3
2454,4,4,2,3,3,3,3
2630,4,4,2,3,3,3,3
2637,2,4,1,3,3,3,3
2679,2,4,3,3,3,3,3
2714,2,4,2,3,3,3,3
2721,2,4,3,3,3,3,3
2744,2,4,4,2,2,2,1
2808,2,4,2,3,3,3,3
2861,2,4,4,2,2,2,1
2928,4,4,2,2,2,2,1
2949,4,4,4,3,3,3,3
3000,4,4,1,3,3,3,3
3007,2,4,1,3,3,3,3
3014,2,4,4,3,3,3,3
3053,4,4,2,3,3,3,3
3095,4,4,1,3,3,3,3
3134,4,4,1,2,2,3,1
3141,4,4,2,3,3,3,3
3185,4,4,1,3,3,3,3
3207,4,4,2,3,3,3,3
3246,4,4,2,3,3,3,3
3257,4,4,2,2,2,2,1
3285,2,4,4,3,3,3,3
3328,2,4,4,3,3,3,3
3335,2,4,1,3,3,3,3
3353,2,4,2,2,2,2,1
3388,2,4,3,3,3,3,3
3453,4,4,1,2,2,3,1
3510,2,4,1,2,2,3,1
3566,4,4,1,2,2,3,1
