our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3361,2,4,2,1,3,1,1
3366,1,4,4,1,3,3,1
3367,2,4,3,3,3,3,3
3375,6,4,6,3,3,3,3
3384,5,4,3,3,3,3,3
3385,2,4,2,1,3,1,1
3393,1,4,3,3,3,3,3
3407,1,4,1,1,3,1,1
3409,2,4,5,3,3,3,3
3421,1,4,6,1,3,3,1
3428,2,4,6,1,3,3,1
3430,4,4,5,3,3,3,3
3444,1,4,6,1,3,3,1
3445,2,4,1,1,3,1,1
3462,2,4,5,1,3,2,1
3470,1,4,3,1,3,2,1
3477,6,4,2,3,3,3,3
3478,1,4,3,1,3,2,1
3479,1,4,5,3,3,3,3
3482,2,4,4,1,3,3,1
3488,6,4,1,3,3,3,3
3489,1,4,5,1,3,2,1
3495,2,4,6,1,3,3,1
3499,6,4,1,3,3,3,3
3503,6,4,6,3,3,3,3
3513,6,4,5,3,3,3,3
3521,1,4,1,3,3,3,3
3527,2,4,3,1,3,2,1
3531,2,4,4,1,3,3,1
3538,6,4,1,3,3,3,3
3543,2,4,5,1,3,2,1
3547,4,4,1,3,3,3,3
3549,1,4,1,1,3,1,1
3551,6,4,6,3,3,3,3
3552,4,4,1,3,3,3,3
3555,1,4,6,1,3,3,1
3563,1,4,1,1,3,1,1
3568,2,4,2,1,3,1,1
3571,5,4,5,3,3,3,3
3573,2,4,3,1,3,2,1
3577,2,4,2,3,3,3,3
3581,2,4,2,1,3,1,1
3583,3,4,1,3,3,3,3
3584,1,4,5,3,3,3,3
3585,6,4,5,3,3,3,3
3598,2,4,6,1,3,3,1
3614,2,4,6,1,3,3,1
3617,6,4,5,3,3,3,3
3618,4,4,4,3,3,3,3
3619,2,4,3,1,3,2,1
3620,2,4,1,3,3,3,3
3626,1,4,3,3,3,3,3
3637,1,4,6,3,3,3,3
3648,2,4,4,1,3,3,1
3652,2,4,1,3,3,3,3
3654,1,4,2,1,3,1,1
3657,2,4,6,3,3,3,3
3659,1,4,4,1,3,3,1
3663,6,4,5,3,3,3,3
3674,1,4,1,1,3,1,1
3677,2,4,1,3,3,3,3
3691,2,4,1,1,3,1,1
3692,2,4,6,3,3,3,3
3693,3,4,6,3,3,3,3
3697,1,4,1,3,3,3,3
3699,6,4,2,3,3,3,3
3700,4,4,1,3,3,3,3
3715,2,4,2,1,3,1,1
3717,1,4,2,1,3,1,1
3722,1,4,5,1,3,2,1
3723,2,4,5,1,3,2,1
3727,2,4,5,1,3,2,1
3730,2,4,6,3,3,3,3
3733,4,4,2,3,3,3,3
3739,1,4,1,1,3,1,1
3741,2,4,2,3,3,3,3
3744,6,4,3,3,3,3,3
3750,2,4,6,1,3,3,1
3756,2,4,6,1,3,3,1
3763,2,4,5,3,3,3,3
3766,1,4,1,3,3,3,3
3769,1,4,3,1,3,2,1
3776,6,4,4,3,3,3,3
3781,2,4,6,1,3,3,1
3796,5,4,4,3,3,3,3
3798,5,4,6,3,3,3,3
3800,1,4,6,3,3,3,3
3805,2,4,6,3,3,3,3
3809,4,4,4,3,3,3,3
3811,6,4,6,3,3,3,3
3828,2,4,2,3,3,3,3
3830,2,4,1,3,3,3,3
3837,2,4,2,1,3,1,1
3840,1,4,4,3,3,3,3
3850,2,4,3,1,3,2,1
3853,2,4,1,3,3,3,3
3855,2,4,4,1,3,3,1
3864,2,4,5,1,3,2,1
3869,1,4,2,1,3,1,1
3874,6,4,5,3,3,3,3
3877,2,4,3,3,3,3,3
3879,4,4,1,3,3,3,3
3887,2,4,6,1,3,3,1
3891,2,4,4,1,3,3,1
3892,2,4,4,3,3,3,3
