our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
8,4,4,2,2,2,2,1
49,2,4,2,2,2,2,1
63,2,4,4,2,2,2,1
95,4,4,2,2,2,2,1
119,4,4,4,2,2,2,1
135,4,4,3,2,2,3,1
149,4,4,2,2,2,2,1
163,2,4,4,2,2,2,1
184,2,4,1,2,2,3,1
198,4,4,2,2,2,2,1
266,4,4,3,2,2,3,1
516,2,4,1,2,2,3,1
562,4,4,3,2,2,3,1
634,4,4,2,2,2,2,1
641,2,4,3,2,2,3,1
676,4,4,3,2,2,3,1
771,2,4,3,2,2,3,1
792,2,4,2,2,2,2,1
820,4,4,1,2,2,3,1
834,4,4,4,2,2,2,1
843,2,4,4,3,3,3,3
857,2,4,4,2,2,2,1
889,2,4,1,2,2,3,1
896,2,4,2,3,1,3,1
963,4,4,1,2,2,3,1
1037,4,4,2,2,2,2,1
1074,4,4,1,2,2,3,1
1097,4,4,4,2,2,2,1
1125,4,4,1,2,2,3,1
1132,2,4,3,2,2,3,1
1287,2,4,3,2,2,3,1
1315,2,4,4,2,2,2,1
1337,4,4,4,3,3,3,3
1344,2,4,1,2,2,3,1
1405,1,4,3,3,2,3,1
1426,2,4,1,3,3,3,3
1518,2,4,3,2,2,3,1
1555,2,4,4,3,3,3,3
1604,2,4,2,2,2,2,1
1617,4,4,2,3,3,3,3
1640,4,4,4,2,2,2,1
1719,4,4,4,2,2,2,1
1796,3,4,3,3,3,3,3
1852,4,4,3,2,2,3,1
1873,4,4,2,2,2,2,1
1894,4,4,1,3,3,3,3
1922,4,4,1,2,2,3,1
1974,4,4,2,2,2,2,1
1981,4,4,3,2,2,3,1
2030,4,4,4,3,3,3,3
2051,4,4,3,3,3,3,3
2072,4,4,2,3,3,3,3
2099,4,4,3,3,3,3,3
2113,4,4,3,3,3,3,3
2161,4,4,3,3,3,3,3
2168,2,4,1,2,2,3,1
2207,4,4,1,3,3,3,3
2216,4,4,4,2,2,2,1
2244,4,4,4,3,3,3,3
2293,4,4,3,3,3,3,3
2300,4,4,3,3,3,3,3
2307,4,4,1,2,2,3,1
