our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
42,4,4,3,2,2,3,1
142,2,4,2,2,2,2,1
156,4,4,1,2,2,3,1
198,2,4,1,2,2,3,1
221,2,4,2,2,2,2,1
243,2,4,3,3,3,3,3
296,2,4,2,2,2,2,1
317,4,4,4,2,2,2,1
398,2,4,4,2,2,2,1
439,4,4,4,2,2,2,1
516,4,4,1,2,2,3,1
562,2,4,4,2,2,2,1
655,2,4,1,2,2,3,1
669,4,4,1,3,3,3,3
709,4,4,3,2,2,3,1
757,4,4,2,2,2,2,1
771,4,4,3,2,2,3,1
850,4,4,4,2,2,2,1
930,2,4,2,3,3,3,3
937,4,4,4,3,3,3,3
963,2,4,1,2,2,3,1
1044,4,4,2,2,2,2,1
1067,4,4,4,2,2,2,1
1074,2,4,1,2,2,3,1
1146,4,4,3,2,2,3,1
1160,4,4,1,2,2,3,1
1195,4,4,2,2,2,2,1
1237,4,4,2,2,2,2,1
1276,2,4,2,3,3,3,3
1294,4,4,3,2,2,3,1
1301,4,4,3,2,2,3,1
1337,4,4,2,3,3,3,3
1344,4,4,3,2,2,3,1
1368,4,4,4,2,2,2,1
1442,4,4,3,3,3,3,3
1483,4,4,3,3,3,3,3
1504,4,4,4,3,3,3,3
1541,4,4,2,3,3,3,3
1611,4,4,2,1,1,3,1
1640,4,4,2,2,2,2,1
1647,3,4,3,3,3,3,3
1705,4,4,1,3,3,3,3
1782,4,4,3,3,3,3,3
1789,3,4,4,3,3,3,3
1873,4,4,3,2,2,3,1
1901,4,4,1,3,3,3,3
1949,4,4,2,3,3,3,3
2086,4,4,2,3,3,3,3
2113,4,4,4,3,3,3,3
2120,4,4,4,3,3,3,3
2134,4,4,1,1,1,2,1
2168,4,4,1,2,2,3,1
2230,4,4,3,3,3,3,3
2314,4,4,3,3,3,3,3
2321,4,4,3,3,3,3,3
2363,4,4,3,2,2,3,1
2398,4,4,4,3,3,3,3
2412,4,4,4,3,3,3,3
2426,4,4,3,3,3,3,3
2433,4,4,4,2,2,2,1
2454,4,4,4,3,3,3,3
2462,4,4,1,2,2,3,1
2476,4,4,3,2,2,3,1
2483,4,4,4,2,2,2,1
2490,4,4,2,2,2,2,1
2560,4,4,4,2,2,2,1
2623,4,4,2,2,2,2,1
2637,4,4,3,3,3,3,3
2651,4,4,2,3,3,3,3
2751,4,4,3,3,3,3,3
2765,4,4,1,2,2,3,1
2772,4,4,1,3,3,3,3
2786,4,4,4,1,1,1,1
2808,4,4,1,3,3,3,3
2838,4,4,4,3,3,3,3
2852,4,4,1,2,2,3,1
2861,4,4,1,2,2,3,1
2868,4,4,1,2,2,3,1
2935,4,4,2,3,3,3,3
3030,4,4,4,2,2,2,1
3039,4,4,3,2,2,3,1
3074,4,4,2,3,3,3,3
3141,4,4,3,3,3,3,3
3164,4,4,3,3,3,3,3
3171,4,4,2,2,2,2,1
3201,4,4,2,3,3,3,3
3207,4,4,3,3,3,3,3
3246,4,4,2,3,3,3,3
3321,4,4,2,2,2,2,1
3409,4,4,1,2,2,3,1
3460,4,4,1,3,3,3,3
3559,4,4,4,3,3,3,3
3580,4,4,2,3,3,3,3
3643,4,4,4,2,2,2,1
3682,4,4,1,2,2,3,1
3689,2,4,4,2,2,2,1
3696,4,4,2,3,3,3,3
3710,4,4,2,2,2,2,1
3775,4,4,4,3,3,3,3
3902,4,4,3,2,2,3,1
3923,4,4,1,2,2,3,1
3950,4,4,2,2,2,2,1
3982,4,4,1,2,2,3,1
3996,4,4,1,2,2,3,1
4024,4,4,1,3,3,3,3
4061,4,4,4,3,3,3,3
4075,4,4,2,2,2,2,1
4082,4,4,3,2,2,3,1
4110,4,4,1,2,2,3,1
4124,4,4,3,3,3,3,3
4131,4,4,2,2,2,2,1
4208,4,4,1,2,2,3,1
4260,4,4,1,3,3,3,3
4271,4,4,4,3,3,3,3
4288,4,4,2,2,2,2,1
4302,4,4,4,3,3,3,3
4371,4,4,4,2,2,2,1
4429,4,4,1,3,3,3,3
4457,4,4,1,2,2,3,1
4492,4,4,4,3,3,3,3
4535,4,4,1,2,2,3,1
4563,4,4,2,3,3,3,3
4641,4,4,3,2,2,3,1
4648,4,4,4,2,2,2,1
4704,4,4,1,3,3,3,3
4747,4,4,2,2,2,2,1
4754,4,4,2,3,3,3,3
4803,4,4,4,2,2,2,1
4810,4,4,1,3,3,3,3
4831,4,4,4,3,3,3,3
4852,4,4,4,3,3,3,3
4859,4,4,3,2,2,3,1
4866,4,4,4,2,2,2,1
4887,4,4,1,2,2,3,1
4917,4,4,2,2,2,2,1
4924,4,4,4,3,3,3,3
4949,4,4,1,3,3,3,3
4989,4,4,1,3,3,3,3
5010,4,4,1,3,3,3,3
5035,4,4,3,2,2,3,1
5065,4,4,3,2,2,3,1
5072,4,4,4,2,2,2,1
5079,4,4,1,2,2,3,1
5165,4,4,1,2,2,3,1
5185,4,4,1,2,2,3,1
5199,4,4,3,2,2,3,1
5206,4,4,4,3,3,3,3
5266,4,4,4,3,3,3,3
5340,4,4,3,2,2,3,1
5354,4,4,2,2,2,2,1
5403,4,4,3,2,2,3,1
5431,4,4,2,2,2,2,1
5459,4,4,2,2,2,2,1
5628,4,4,3,3,3,3,3
5677,4,4,4,2,2,2,1
5698,4,4,2,2,2,2,1
5705,4,4,3,2,2,3,1
5751,4,4,1,2,2,3,1
5818,4,4,4,2,2,2,1
5825,4,4,1,2,2,3,1
5892,4,4,2,2,2,2,1
5899,4,4,4,3,3,3,3
5906,4,4,4,2,2,2,1
5927,4,4,3,3,3,3,3
5959,4,4,4,2,2,2,1
6001,4,4,2,2,2,2,1
6054,4,4,1,3,3,3,3
6077,4,4,2,2,2,2,1
6084,4,4,4,2,2,2,1
6091,4,4,4,2,2,2,1
6105,2,4,3,2,2,3,1
6139,4,4,1,3,3,3,3
6157,4,4,1,2,2,3,1
6178,4,4,2,2,2,2,1
6187,4,4,1,2,2,3,1
6405,4,4,2,2,2,2,1
6412,4,4,2,2,2,2,1
6419,2,4,4,2,2,2,1
6440,2,4,2,2,2,2,1
6530,2,4,2,2,2,2,1
6539,2,4,4,2,2,2,1
6553,4,4,1,2,2,3,1
6560,4,4,4,2,2,2,1
6609,4,4,2,2,2,2,1
6669,4,4,4,3,3,3,3
6683,2,4,3,2,2,3,1
6725,4,4,2,2,2,2,1
6776,2,4,2,2,2,2,1
6790,2,4,4,2,2,2,1
6810,4,4,4,2,2,2,1
6824,4,4,1,2,2,3,1
6845,4,4,4,3,3,3,3
6859,4,4,2,3,3,3,3
6873,4,4,1,2,2,3,1
6880,4,4,3,2,2,3,1
6992,4,4,2,2,2,2,1
7145,2,4,1,2,2,3,1
7152,4,4,4,2,2,2,1
7173,4,4,3,2,2,3,1
7215,2,4,4,2,2,2,1
7252,2,4,3,2,2,3,1
7263,4,4,1,2,2,3,1
7276,4,4,3,3,3,3,3
7332,4,4,3,2,2,3,1
7339,2,4,1,2,2,3,1
7367,4,4,3,2,2,3,1
7418,4,4,2,2,2,2,1
7524,4,4,2,2,2,2,1
7531,2,4,4,2,2,2,1
7643,2,4,4,2,2,2,1
7668,4,4,4,3,3,3,3
7691,4,4,2,2,2,2,1
7698,4,4,2,2,2,2,1
7712,2,4,3,2,2,3,1
7726,4,4,3,2,2,3,1
7778,4,4,1,2,2,3,1
7841,2,4,2,2,2,2,1
7889,4,4,4,2,2,2,1
7982,4,4,2,2,2,2,1
8086,4,4,3,2,2,3,1
8135,4,4,3,2,2,3,1
8153,2,4,1,3,3,3,3
8164,4,4,2,2,2,2,1
8206,2,4,4,2,2,2,1
8220,2,4,2,2,2,2,1
8234,2,4,2,3,3,3,3
8241,2,4,2,2,2,2,1
8276,4,4,4,2,2,2,1
8290,2,4,2,2,2,2,1
8407,2,4,2,2,2,2,1
8435,4,4,4,2,2,2,1
8497,2,4,2,3,3,3,3
8612,4,4,2,2,2,2,1
8619,4,4,4,2,2,2,1
8628,4,4,1,2,2,3,1
8635,2,4,2,2,2,2,1
8671,2,4,1,2,2,3,1
8696,2,4,2,2,2,2,1
8772,4,4,2,3,3,1,1
8799,2,4,1,2,2,3,1
8870,2,4,2,2,2,2,1
8919,2,4,4,2,2,2,1
8954,2,4,3,3,3,3,3
8972,2,4,3,2,2,3,1
9000,2,4,3,2,2,3,1
9014,4,4,4,2,2,2,1
