our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
15,2,4,2,3,3,3,3
63,4,4,4,2,2,2,1
95,4,4,2,2,2,2,1
119,2,4,2,2,2,2,1
135,2,4,3,2,2,3,1
156,4,4,1,2,2,3,1
170,2,4,4,2,2,2,1
198,2,4,1,2,2,3,1
243,2,4,2,3,3,3,3
280,2,4,3,2,2,3,1
289,2,4,3,2,2,3,1
324,2,4,3,2,2,3,1
368,2,4,1,2,2,3,1
375,2,4,2,2,2,2,1
382,4,4,4,2,2,2,1
414,2,4,3,2,2,3,1
421,4,4,3,3,3,3,3
439,4,4,4,2,2,2,1
446,2,4,4,2,2,2,1
475,4,4,1,2,2,3,1
482,2,4,1,2,2,3,1
516,4,4,4,2,2,2,1
548,4,4,4,2,2,2,1
613,2,4,1,2,2,3,1
683,2,4,1,2,2,3,1
697,4,4,2,3,3,3,3
792,4,4,3,2,2,3,1
820,2,4,4,2,2,2,1
878,4,4,4,2,2,2,1
902,4,4,1,3,3,3,3
909,2,4,4,2,2,2,1
942,2,4,4,2,2,2,1
1012,2,4,4,2,2,2,1
1019,2,4,2,2,2,2,1
1044,2,4,4,2,2,2,1
1104,4,4,3,2,2,3,1
1118,4,4,3,2,2,3,1
1132,4,4,1,2,2,3,1
1160,4,4,1,2,2,3,1
1181,4,4,1,2,2,3,1
1255,4,4,4,2,2,2,1
1269,4,4,4,2,2,2,1
1344,2,4,2,2,2,2,1
1351,3,4,2,3,3,3,3
1389,3,4,3,3,3,3,3
1469,2,4,2,3,3,3,3
1490,4,4,2,3,3,3,3
1497,4,4,3,3,3,3,3
1604,4,4,3,2,2,3,1
1647,3,4,4,3,3,3,3
1654,4,4,2,3,3,3,3
1670,4,4,1,3,3,3,3
1677,4,4,1,2,2,3,1
1698,4,4,1,3,3,3,3
1712,4,4,3,2,2,3,1
1726,4,4,2,2,2,2,1
1750,4,4,4,3,3,3,3
1803,4,4,2,2,2,2,1
1810,4,4,1,2,2,3,1
1817,3,4,1,3,3,3,3
1894,4,4,2,3,3,3,3
1901,4,4,3,3,3,3,3
1936,4,4,2,3,3,3,3
1967,4,4,4,3,3,3,3
1981,4,4,1,2,2,3,1
2037,4,4,2,3,3,3,3
2093,4,4,4,1,1,1,1
2140,4,4,1,2,2,3,1
2175,4,4,1,2,2,3,1
2189,4,4,3,2,2,3,1
2251,4,4,1,3,3,3,3
2363,4,4,1,2,2,3,1
2412,2,4,4,3,3,3,3
2454,4,4,4,3,3,3,3
2504,4,4,2,3,3,3,3
2560,4,4,1,2,2,3,1
2588,4,4,4,3,3,3,3
2623,4,4,4,2,2,2,1
2728,4,4,1,3,3,3,3
2801,4,4,3,2,2,3,1
2829,4,4,4,3,3,3,3
2868,4,4,1,2,2,3,1
2928,2,4,3,2,2,3,1
2965,4,4,3,2,2,3,1
2972,4,4,4,2,2,2,1
3000,4,4,2,3,3,3,3
3060,4,4,4,3,3,3,3
3074,2,4,4,3,3,3,3
3088,4,4,1,2,2,3,1
3134,4,4,3,2,2,3,1
3164,4,4,3,3,3,3,3
3178,4,4,1,2,2,3,1
3230,4,4,1,3,3,3,3
3239,4,4,1,3,3,3,3
3381,4,4,3,2,2,3,1
3510,4,4,1,2,2,3,1
3573,4,4,4,2,2,2,1
3580,4,4,2,3,3,3,3
3594,4,4,3,2,2,3,1
3622,4,4,2,3,3,3,3
3629,4,4,2,3,3,3,3
3668,4,4,2,2,2,2,1
