our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3353,2,4,4,1,3,3,1
3355,2,4,1,1,3,1,1
3361,2,4,1,1,3,1,1
3370,2,4,3,1,3,2,1
3373,5,4,4,3,3,3,3
3376,6,4,1,3,3,3,3
3384,5,4,4,3,3,3,3
3392,2,4,6,3,3,3,3
3399,2,4,3,1,3,2,1
3402,2,4,4,1,3,3,1
3407,1,4,4,1,3,3,1
3412,4,4,1,3,3,3,3
3421,1,4,4,1,3,3,1
3432,6,4,4,3,3,3,3
3436,6,4,3,3,3,3,3
3437,2,4,6,1,3,3,1
3447,6,4,1,3,3,3,3
3457,2,4,6,1,3,3,1
3460,1,4,1,3,3,3,3
3467,6,4,5,3,3,3,3
3472,6,4,5,3,3,3,3
3477,6,4,6,3,3,3,3
3480,6,4,3,3,3,3,3
3481,1,4,2,3,3,3,3
3491,2,4,5,3,3,3,3
3507,2,4,1,1,3,1,1
3516,4,4,1,3,3,3,3
3518,6,4,6,3,3,3,3
3526,1,4,4,3,3,3,3
3532,2,4,2,1,3,1,1
3535,2,4,3,3,3,3,3
3536,2,4,2,3,3,3,3
3537,2,4,6,3,3,3,3
3538,6,4,6,3,3,3,3
3542,6,4,5,3,3,3,3
3543,2,4,5,1,3,2,1
3544,1,4,3,1,3,2,1
3545,6,4,3,3,3,3,3
3546,1,4,6,1,3,3,1
3547,4,4,3,3,3,3,3
3550,6,4,2,3,3,3,3
3552,4,4,5,3,3,3,3
3572,2,4,3,3,3,3,3
3580,2,4,3,3,3,3,3
3588,2,4,1,3,3,3,3
3589,2,4,1,1,3,1,1
3599,4,4,6,3,3,3,3
3607,1,4,6,1,3,3,1
3612,2,4,2,3,3,3,3
3615,5,4,2,3,3,3,3
3623,2,4,1,1,3,1,1
3629,2,4,4,3,3,3,3
3633,2,4,2,1,3,1,1
3634,1,4,4,1,3,3,1
3639,5,4,4,3,3,3,3
3641,3,4,4,3,3,3,3
3643,2,4,4,3,3,3,3
3647,6,4,6,3,3,3,3
3648,1,4,5,1,3,2,1
3655,1,4,5,3,3,3,3
3659,1,4,1,1,3,1,1
3664,1,4,4,3,3,3,3
3665,2,4,1,3,3,3,3
3667,2,4,2,3,3,3,3
3676,6,4,2,3,3,3,3
3690,2,4,1,1,3,1,1
3698,2,4,4,3,3,3,3
3699,6,4,1,3,3,3,3
3700,4,4,1,3,3,3,3
3710,2,4,5,1,3,2,1
3711,2,4,6,3,3,3,3
3715,2,4,4,1,3,3,1
3719,2,4,5,1,3,2,1
3728,2,4,4,1,3,3,1
3732,2,4,3,1,3,2,1
3733,4,4,3,3,3,3,3
3736,2,4,6,3,3,3,3
3737,2,4,6,1,3,3,1
3742,2,4,1,1,3,1,1
3744,6,4,3,3,3,3,3
3757,4,4,1,3,3,3,3
3759,2,4,3,1,3,2,1
3760,1,4,5,3,3,3,3
3761,2,4,5,3,3,3,3
3762,6,4,3,3,3,3,3
3786,2,4,5,3,3,3,3
3793,1,4,3,1,3,2,1
3795,2,4,1,1,3,1,1
3798,6,4,4,3,3,3,3
3807,2,4,3,3,3,3,3
3809,6,4,6,3,3,3,3
3811,6,4,6,3,3,3,3
3813,6,4,1,3,3,3,3
3814,2,4,4,3,3,3,3
3842,2,4,5,3,3,3,3
3847,1,4,3,1,3,2,1
3863,2,4,1,3,3,3,3
3864,2,4,5,1,3,2,1
3865,1,4,3,3,3,3,3
3871,4,4,2,3,3,3,3
3876,6,4,4,3,3,3,3
3883,2,4,5,1,3,2,1
3890,2,4,2,1,3,1,1
3895,6,4,4,3,3,3,3
3912,2,4,5,1,3,2,1
3922,5,4,3,3,3,3,3
3927,1,4,5,1,3,2,1
3930,4,4,3,3,3,3,3
3937,2,4,3,1,3,2,1
3954,2,4,4,1,3,3,1
3956,2,4,1,1,3,1,1
3960,1,4,6,1,3,3,1
3963,3,4,1,3,3,3,3
3965,2,4,3,1,3,2,1
3971,2,4,4,1,3,3,1
3972,2,4,6,1,3,3,1
3973,6,4,6,3,3,3,3
3982,4,4,2,3,3,3,3
3983,6,4,2,3,3,3,3
3987,2,4,1,1,3,1,1
4008,2,4,4,1,3,3,1
4010,6,4,4,3,3,3,3
4014,2,4,6,3,3,3,3
4015,6,4,4,3,3,3,3
4017,2,4,1,1,3,1,1
4019,2,4,1,1,3,1,1
4026,2,4,1,1,3,1,1
4027,3,4,2,3,3,3,3
4029,6,4,4,3,3,3,3
4051,1,4,3,3,3,3,3
4052,2,4,1,1,3,1,1
4057,2,4,3,1,3,2,1
4062,1,4,6,3,3,3,3
4070,6,4,2,3,3,3,3
4074,2,4,4,1,3,3,1
4081,2,4,4,1,3,3,1
4109,2,4,1,1,3,1,1
4111,6,4,4,3,3,3,3
4129,2,4,3,1,3,2,1
4131,1,4,5,1,3,2,1
4137,6,4,4,3,3,3,3
4141,2,4,2,1,3,1,1
4147,6,4,2,3,3,3,3
4148,2,4,2,1,3,1,1
4160,2,4,1,1,3,1,1
4165,2,4,4,1,3,3,1
4171,2,4,3,1,3,2,1
4172,4,4,1,3,3,3,3
4182,6,4,3,3,3,3,3
4212,2,4,5,1,3,2,1
4213,1,4,6,1,3,3,1
4217,2,4,6,1,3,3,1
4223,4,4,6,3,3,3,3
4224,1,4,2,1,3,1,1
4247,1,4,1,1,3,1,1
4263,6,4,3,3,3,3,3
4265,2,4,6,1,3,3,1
4267,2,4,2,1,3,1,1
4276,6,4,1,3,3,3,3
4278,1,4,4,1,3,3,1
4288,2,4,3,1,3,2,1
4308,1,4,2,1,3,1,1
4313,6,4,2,3,3,3,3
4315,2,4,4,1,3,3,1
4320,2,4,6,1,3,3,1
4321,1,4,1,1,3,1,1
4322,2,4,4,1,3,3,1
4328,2,4,4,1,3,3,1
4330,6,4,5,3,3,3,3
4342,2,4,1,1,3,1,1
4350,6,4,4,3,3,3,3
4352,2,4,4,1,3,3,1
4362,2,4,1,1,3,1,1
4381,2,4,4,1,3,3,1
4386,4,4,6,3,3,3,3
4387,2,4,5,1,3,2,1
4389,2,4,3,1,3,2,1
4391,6,4,3,3,3,3,3
4399,1,4,1,1,3,1,1
4403,2,4,1,1,3,1,1
4408,6,4,6,3,3,3,3
4414,1,4,3,3,3,3,3
4416,4,4,1,3,3,3,3
4417,2,4,1,1,3,1,1
4426,1,4,6,1,3,3,1
4429,2,4,1,1,3,1,1
4433,2,4,1,1,3,1,1
4444,2,4,6,1,3,3,1
4454,6,4,4,3,3,3,3
4464,2,4,1,3,3,3,3
4472,1,4,6,1,3,3,1
4482,1,4,2,1,3,1,1
4493,2,4,3,1,3,2,1
4494,1,4,2,1,3,1,1
4496,1,4,5,1,3,2,1
4498,2,4,2,1,3,1,1
4505,2,4,4,1,3,3,1
4512,4,4,5,3,3,3,3
4517,2,4,6,1,3,3,1
4526,5,4,6,3,3,3,3
4529,1,4,3,1,3,2,1
4531,1,4,6,1,3,3,1
4536,4,4,3,3,3,3,3
4541,6,4,3,3,3,3,3
4543,2,4,3,1,3,2,1
4549,1,4,6,1,3,3,1
4550,2,4,5,1,3,2,1
4552,2,4,5,1,3,2,1
4557,6,4,3,3,3,3,3
4564,6,4,5,3,3,3,3
4565,1,4,2,1,3,1,1
4575,2,4,1,1,3,1,1
4577,1,4,2,1,3,1,1
4593,6,4,3,3,3,3,3
4599,2,4,3,1,3,2,1
4605,4,4,4,3,3,3,3
4607,1,4,3,1,3,2,1
4620,2,4,1,1,3,1,1
4622,2,4,5,1,3,2,1
4635,2,4,5,1,3,2,1
4643,2,4,4,1,3,3,1
4648,1,4,4,1,3,3,1
4659,2,4,6,1,3,3,1
4660,2,4,2,1,3,1,1
4668,6,4,6,3,3,3,3
4671,5,4,2,3,3,3,3
4672,2,4,6,1,3,3,1
4673,6,4,1,3,3,3,3
4675,1,4,3,3,3,3,3
4682,6,4,4,3,3,3,3
4693,2,4,5,1,3,2,1
4696,2,4,3,1,3,2,1
4701,2,4,6,1,3,3,1
4707,2,4,6,1,3,3,1
4712,2,4,5,1,3,2,1
4713,4,4,1,3,3,3,3
4744,2,4,5,1,3,2,1
4748,6,4,3,3,3,3,3
4749,2,4,4,1,3,3,1
4750,6,4,4,3,3,3,3
4753,2,4,5,3,3,3,3
4754,2,4,3,1,3,2,1
4760,1,4,1,1,3,1,1
4765,2,4,5,1,3,2,1
4773,2,4,3,3,3,3,3
4777,2,4,1,1,3,1,1
4785,2,4,6,1,3,3,1
4790,4,4,3,3,3,3,3
4791,2,4,2,1,3,1,1
4792,6,4,4,3,3,3,3
4793,2,4,3,1,3,2,1
4794,2,4,5,1,3,2,1
4799,1,4,2,1,3,1,1
4807,2,4,4,1,3,3,1
4810,2,4,1,1,3,1,1
4815,4,4,5,3,3,3,3
4824,4,4,4,3,3,3,3
4826,2,4,3,1,3,2,1
4831,6,4,1,3,3,3,3
4833,2,4,3,1,3,2,1
4840,4,4,3,3,3,3,3
4852,2,4,2,1,3,1,1
4860,2,4,6,1,3,3,1
4872,2,4,2,1,3,1,1
4880,2,4,1,1,3,1,1
4885,1,4,4,1,3,3,1
4887,1,4,1,1,3,1,1
4890,4,4,4,3,3,3,3
4893,2,4,2,1,3,1,1
4894,1,4,1,1,3,1,1
4897,6,4,1,3,3,3,3
4910,6,4,6,3,3,3,3
4915,2,4,1,1,3,1,1
4919,2,4,1,1,3,1,1
4923,2,4,2,1,3,1,1
4931,2,4,1,1,3,1,1
4943,2,4,4,1,3,3,1
4952,2,4,5,1,3,2,1
4962,1,4,2,1,3,1,1
5008,2,4,2,1,3,1,1
5021,4,4,5,3,3,3,3
5028,2,4,3,1,3,2,1
5034,2,4,3,1,3,2,1
5036,6,4,6,3,3,3,3
5037,2,4,5,1,3,2,1
5042,1,4,5,1,3,2,1
5044,2,4,4,1,3,3,1
5045,1,4,6,1,3,3,1
5049,2,4,3,1,3,2,1
5051,1,4,2,1,3,1,1
5052,2,4,6,1,3,3,1
5057,2,4,1,1,3,1,1
5062,1,4,1,1,3,1,1
5065,2,4,4,1,3,3,1
5075,1,4,1,3,3,3,3
5078,2,4,3,1,3,2,1
5105,4,4,6,3,3,3,3
5106,2,4,1,1,3,1,1
5110,6,4,4,3,3,3,3
5122,6,4,1,3,3,3,3
5138,2,4,5,1,3,2,1
5143,1,4,2,1,3,1,1
