our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3350,6,4,1,3,3,3,3
3358,1,4,2,1,3,1,1
3362,1,4,6,1,3,3,1
3372,6,4,5,3,3,3,3
3373,4,4,3,3,3,3,3
3380,3,4,4,2,3,3,1
3384,4,4,3,3,3,3,3
3404,4,4,5,3,3,3,3
3405,1,4,4,3,3,3,3
3407,1,4,3,1,3,2,1
3409,6,4,1,3,3,3,3
3411,4,4,5,3,3,3,3
3437,1,4,2,1,3,1,1
3445,1,4,6,1,3,3,1
3448,6,4,5,3,3,3,3
3449,6,4,4,3,3,3,3
3450,1,4,3,1,3,2,1
3457,1,4,3,1,3,2,1
3462,1,4,4,1,3,3,1
3465,6,4,5,3,3,3,3
3466,1,4,4,1,3,3,1
3468,5,4,5,3,3,3,3
3471,1,4,2,1,3,1,1
3478,1,4,3,1,3,2,1
3482,1,4,3,1,3,2,1
3485,1,4,4,1,3,3,1
3491,1,4,6,3,3,3,3
3495,1,4,4,1,3,3,1
3498,1,4,6,1,3,3,1
3502,1,4,2,1,3,1,1
3512,6,4,3,3,3,3,3
3516,4,4,2,3,3,3,3
3518,6,4,4,3,3,3,3
3520,1,4,6,3,3,3,3
3521,4,4,2,3,3,3,3
3527,3,4,5,2,3,2,1
3532,1,4,3,1,3,2,1
3533,1,4,4,3,3,3,3
3539,4,4,2,3,3,3,3
3543,1,4,3,1,3,2,1
3553,3,4,6,3,3,3,3
3554,1,4,6,1,3,3,1
3563,3,4,2,2,3,1,1
3565,1,4,4,3,3,3,3
3572,4,4,1,3,3,3,3
3575,4,4,3,3,3,3,3
3576,3,4,3,2,3,2,1
3579,4,4,4,3,3,3,3
3587,1,4,6,1,3,3,1
3588,6,4,6,3,3,3,3
3589,1,4,2,1,3,1,1
3596,1,4,5,1,3,2,1
3624,4,4,1,3,3,3,3
3626,1,4,6,3,3,3,3
3628,1,4,5,1,3,2,1
3633,1,4,3,1,3,2,1
3637,1,4,1,3,3,3,3
3641,6,4,5,3,3,3,3
3648,1,4,2,1,3,1,1
3658,4,4,5,3,3,3,3
3659,1,4,2,1,3,1,1
3663,6,4,1,3,3,3,3
3665,4,4,6,3,3,3,3
3666,1,4,5,1,3,2,1
3673,1,4,2,1,3,1,1
3681,1,4,1,3,3,3,3
3685,1,4,6,3,3,3,3
3687,1,4,3,1,3,2,1
3693,6,4,1,3,3,3,3
3707,4,4,6,3,3,3,3
3708,4,4,6,3,3,3,3
3710,1,4,3,1,3,2,1
3711,4,4,6,3,3,3,3
3714,4,4,4,3,3,3,3
3724,6,4,3,3,3,3,3
3727,1,4,4,1,3,3,1
3739,1,4,1,1,3,1,1
3747,3,4,1,3,3,3,3
3752,4,4,2,3,3,3,3
3759,1,4,5,1,3,2,1
3761,6,4,6,3,3,3,3
3765,1,4,2,1,3,1,1
3766,5,4,5,3,3,3,3
3768,4,4,2,3,3,3,3
3775,1,4,3,1,3,2,1
3780,6,4,3,3,3,3,3
3781,1,4,3,1,3,2,1
3786,3,4,3,3,3,3,3
3787,1,4,2,1,3,1,1
3790,6,4,4,3,3,3,3
3796,4,4,6,3,3,3,3
3798,4,4,1,3,3,3,3
3811,4,4,4,3,3,3,3
3812,1,4,2,1,3,1,1
3819,6,4,2,3,3,3,3
3825,6,4,2,3,3,3,3
3831,5,4,2,3,3,3,3
3840,4,4,3,3,3,3,3
3847,3,4,2,2,3,1,1
3858,1,4,5,1,3,2,1
3860,1,4,5,1,3,2,1
3864,1,4,4,1,3,3,1
3872,1,4,5,1,3,2,1
3886,6,4,5,3,3,3,3
3894,1,4,2,1,3,1,1
3897,1,4,3,1,3,2,1
3898,5,4,4,3,3,3,3
3899,4,4,3,3,3,3,3
3901,1,4,4,3,3,3,3
3909,1,4,4,1,3,3,1
3913,1,4,1,1,3,1,1
3914,6,4,4,3,3,3,3
3916,1,4,5,1,3,2,1
3918,1,4,1,1,3,1,1
3923,4,4,5,3,3,3,3
3928,1,4,3,3,3,3,3
3948,1,4,4,1,3,3,1
3952,4,4,2,3,3,3,3
3953,4,4,4,3,3,3,3
3963,6,4,1,3,3,3,3
3964,4,4,1,3,3,3,3
3965,1,4,2,1,3,1,1
3973,4,4,2,3,3,3,3
3980,1,4,3,1,3,2,1
3984,1,4,4,1,3,3,1
3993,3,4,4,2,3,3,1
3995,1,4,6,1,3,3,1
3996,3,4,6,2,3,3,1
4013,4,4,5,3,3,3,3
4014,6,4,3,3,3,3,3
4022,4,4,1,3,3,3,3
4024,6,4,6,3,3,3,3
4030,1,4,2,1,3,1,1
4039,5,4,1,2,3,1,1
4050,3,4,4,2,3,3,1
4059,6,4,1,3,3,3,3
4061,1,4,6,1,3,3,1
4066,6,4,6,3,3,3,3
4076,1,4,2,1,3,1,1
4086,1,4,4,1,3,3,1
4101,1,4,2,1,3,1,1
4114,1,4,5,1,3,2,1
4116,4,4,4,3,3,3,3
4119,1,4,5,3,3,3,3
4120,5,4,2,2,3,1,1
4125,1,4,2,1,3,1,1
4151,1,4,4,1,3,3,1
4152,1,4,6,1,3,3,1
4153,1,4,4,1,3,3,1
4157,1,4,6,1,3,3,1
4158,6,4,6,3,3,3,3
4166,1,4,6,1,3,3,1
4170,1,4,6,1,3,3,1
4171,1,4,5,1,3,2,1
4182,4,4,4,3,3,3,3
4188,1,4,5,1,3,2,1
4192,4,4,1,3,3,3,3
4194,5,4,1,2,3,1,1
4219,1,4,1,1,3,1,1
4221,1,4,6,1,3,3,1
4225,4,4,4,3,3,3,3
4228,6,4,1,3,3,3,3
4230,1,4,5,1,3,2,1
4243,1,4,2,1,3,1,1
4245,6,4,5,3,3,3,3
4251,1,4,5,1,3,2,1
4262,4,4,1,3,3,3,3
4263,4,4,2,3,3,3,3
4270,5,4,2,2,3,1,1
4271,1,4,2,1,3,1,1
4281,4,4,1,3,3,3,3
4283,1,4,2,1,3,1,1
4288,1,4,3,1,3,2,1
4291,6,4,5,3,3,3,3
4309,1,4,3,1,3,2,1
4313,4,4,4,3,3,3,3
4319,1,4,3,1,3,2,1
4321,1,4,3,1,3,2,1
4322,1,4,2,1,3,1,1
4342,1,4,5,1,3,2,1
4347,1,4,1,1,3,1,1
4350,4,4,4,3,3,3,3
4356,1,4,2,1,3,1,1
4364,1,4,1,1,3,1,1
4374,1,4,3,1,3,2,1
4382,6,4,6,3,3,3,3
4386,4,4,2,3,3,3,3
4391,4,4,6,3,3,3,3
4393,1,4,1,1,3,1,1
4396,6,4,3,3,3,3,3
4399,6,4,1,3,3,1,1
4405,1,4,5,1,3,2,1
4413,1,4,5,1,3,2,1
4422,1,4,5,1,3,2,1
4426,1,4,4,1,3,3,1
4427,1,4,4,1,3,3,1
4428,1,4,4,1,3,3,1
4429,1,4,5,1,3,2,1
4430,1,4,2,1,3,1,1
4440,6,4,3,3,3,3,3
4445,1,4,2,1,3,1,1
4446,4,4,1,3,3,3,3
4448,1,4,3,1,3,2,1
4454,4,4,1,3,3,3,3
