our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3356,4,4,1,3,3,3,3
3357,1,4,6,1,3,3,1
3358,1,4,3,1,3,2,1
3359,1,4,3,1,3,2,1
3361,1,4,3,1,3,2,1
3362,1,4,2,1,3,1,1
3364,1,4,5,1,3,2,1
3371,1,4,1,1,3,1,1
3374,4,4,3,3,3,3,3
3377,4,4,1,3,3,3,3
3383,1,4,1,1,3,1,1
3390,1,4,4,1,3,3,1
3401,6,4,4,3,3,3,3
3407,1,4,2,1,3,1,1
3412,4,4,3,3,3,3,3
3414,1,4,1,1,3,1,1
3421,1,4,2,1,3,1,1
3432,4,4,3,3,3,3,3
3445,1,4,6,1,3,3,1
3448,4,4,6,3,3,3,3
3457,3,4,1,2,3,1,1
3463,4,4,5,3,3,3,3
3475,6,4,6,3,3,3,3
3488,6,4,6,3,3,3,3
3493,6,4,5,3,3,3,3
3494,1,4,6,3,3,3,3
3498,1,4,1,1,3,1,1
3506,4,4,6,3,3,3,3
3512,3,4,5,3,3,3,3
3514,3,4,5,2,3,2,1
3520,1,4,6,3,3,3,3
3532,1,4,2,1,3,1,1
3541,6,4,5,3,3,3,3
3545,4,4,4,3,3,3,3
3564,4,4,2,3,3,3,3
3574,3,4,6,3,3,3,3
3577,5,4,4,3,3,3,3
3578,1,4,2,3,3,3,3
3579,3,4,4,3,3,3,3
3581,1,4,4,1,3,3,1
3595,3,4,2,3,3,3,3
3601,3,4,3,2,3,2,1
3607,1,4,2,1,3,1,1
3619,1,4,4,1,3,3,1
3633,1,4,3,1,3,2,1
3636,1,4,6,1,3,3,1
3645,1,4,6,1,3,3,1
3651,4,4,5,3,3,3,3
3656,3,4,3,3,3,3,3
3658,4,4,3,3,3,3,3
3660,1,4,3,1,3,2,1
3665,3,4,4,3,3,3,3
3671,1,4,3,1,3,2,1
3674,1,4,4,1,3,3,1
3678,1,4,4,1,3,3,1
3698,1,4,6,3,3,3,3
3701,5,4,5,3,3,3,3
3703,1,4,6,1,3,3,1
3710,1,4,3,1,3,2,1
3719,1,4,6,1,3,3,1
3721,1,4,2,1,3,1,1
3723,1,4,1,1,3,1,1
3734,1,4,3,1,3,2,1
3752,4,4,1,3,3,3,3
3760,4,4,5,3,3,3,3
3769,1,4,6,1,3,3,1
3786,1,4,5,3,3,3,3
3792,1,4,2,1,3,1,1
3795,1,4,5,1,3,2,1
3804,1,4,3,3,3,3,3
3813,4,4,2,3,3,3,3
3814,1,4,1,3,3,3,3
3818,1,4,5,1,3,2,1
3830,6,4,2,3,3,3,3
3833,5,4,3,3,3,3,3
3840,5,4,3,3,3,3,3
