our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3353,2,4,1,1,3,1,1
3356,6,4,6,3,3,3,3
3359,2,4,4,1,3,3,1
3361,2,4,2,1,3,1,1
3366,2,4,5,1,3,2,1
3370,2,4,3,1,3,2,1
3383,1,4,1,1,3,1,1
3397,2,4,2,3,3,3,3
3405,2,4,6,3,3,3,3
3414,2,4,5,1,3,2,1
3423,2,4,5,3,3,3,3
3432,6,4,1,3,3,3,3
3436,6,4,3,3,3,3,3
3451,2,4,5,1,3,2,1
3465,6,4,1,3,3,3,3
3468,4,4,4,3,3,3,3
3469,2,4,1,1,3,1,1
3470,2,4,3,1,3,2,1
3487,1,4,6,3,3,3,3
3491,2,4,1,3,3,3,3
3494,2,4,5,3,3,3,3
3496,6,4,2,3,3,3,3
3497,6,4,3,3,3,3,3
3501,2,4,2,1,3,1,1
3506,2,4,1,3,3,3,3
3512,2,4,2,3,3,3,3
3519,2,4,5,1,3,2,1
3522,2,4,1,3,3,3,3
3527,2,4,6,1,3,3,1
3528,5,4,4,3,3,3,3
3538,6,4,6,3,3,3,3
3541,6,4,2,3,3,3,3
3555,2,4,3,1,3,2,1
3573,2,4,1,1,3,1,1
3574,5,4,6,3,3,3,3
3577,2,4,3,3,3,3,3
3579,6,4,6,3,3,3,3
3587,2,4,1,1,3,1,1
3597,2,4,6,3,3,3,3
3619,2,4,5,1,3,2,1
3621,2,4,2,3,3,3,3
3624,6,4,1,3,3,3,3
3647,6,4,5,3,3,3,3
3650,2,4,2,3,3,3,3
3661,4,4,2,3,3,3,3
3666,2,4,1,1,3,1,1
3667,2,4,2,3,3,3,3
3692,2,4,3,3,3,3,3
3716,6,4,5,3,3,3,3
3719,2,4,5,1,3,2,1
3723,2,4,6,1,3,3,1
3727,2,4,2,1,3,1,1
3732,2,4,1,1,3,1,1
3736,2,4,1,3,3,3,3
3739,1,4,6,1,3,3,1
3750,2,4,6,1,3,3,1
3775,2,4,1,1,3,1,1
3778,2,4,4,1,3,3,1
3785,2,4,1,1,3,1,1
3796,5,4,4,3,3,3,3
3802,6,4,6,3,3,3,3
3803,5,4,5,3,3,3,3
3808,6,4,6,3,3,3,3
3816,5,4,1,3,3,3,3
3820,2,4,5,3,3,3,3
3828,2,4,1,3,3,3,3
3829,2,4,3,3,3,3,3
3830,2,4,6,3,3,3,3
3833,2,4,6,3,3,3,3
3836,2,4,5,1,3,2,1
3841,2,4,6,1,3,3,1
3843,2,4,4,3,3,3,3
3855,2,4,3,1,3,2,1
3858,2,4,5,1,3,2,1
3863,2,4,5,3,3,3,3
3874,4,4,6,3,3,3,3
3877,2,4,6,3,3,3,3
3879,6,4,2,3,3,3,3
3880,5,4,3,3,3,3,3
3882,2,4,3,1,3,2,1
3885,2,4,1,1,3,1,1
3892,1,4,5,3,3,3,3
3893,2,4,4,1,3,3,1
3906,4,4,6,3,3,3,3
3913,1,4,5,1,3,2,1
3923,4,4,2,3,3,3,3
3928,2,4,6,3,3,3,3
3942,5,4,5,3,3,3,3
3944,2,4,4,1,3,3,1
