our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3369,2,4,4,3,3,3,3
3370,2,4,4,1,3,3,1
3371,2,4,1,1,3,1,1
3375,6,4,6,3,3,3,3
3390,2,4,6,1,3,3,1
3397,2,4,2,3,3,3,3
3402,2,4,3,1,3,2,1
3407,2,4,5,1,3,2,1
3421,1,4,4,1,3,3,1
3426,6,4,4,3,3,3,3
3430,4,4,3,3,3,3,3
3451,2,4,3,1,3,2,1
3460,1,4,4,3,3,3,3
3462,2,4,4,1,3,3,1
3463,6,4,5,3,3,3,3
3468,6,4,2,3,3,3,3
3474,2,4,2,3,3,3,3
3490,2,4,3,1,3,2,1
3493,2,4,3,3,3,3,3
3502,2,4,3,1,3,2,1
3506,2,4,1,3,3,3,3
3526,5,4,6,3,3,3,3
3531,2,4,5,1,3,2,1
3534,4,4,6,3,3,3,3
3536,1,4,4,3,3,3,3
3537,2,4,2,3,3,3,3
3541,6,4,3,3,3,3,3
3544,2,4,3,1,3,2,1
3552,4,4,5,3,3,3,3
3555,2,4,3,1,3,2,1
3557,4,4,3,3,3,3,3
3559,2,4,5,1,3,2,1
3563,2,4,4,1,3,3,1
3572,1,4,3,3,3,3,3
3575,6,4,2,3,3,3,3
3594,2,4,2,1,3,1,1
3597,2,4,6,3,3,3,3
3601,2,4,1,1,3,1,1
3602,2,4,6,3,3,3,3
3608,3,4,6,3,3,3,3
3610,1,4,2,3,3,3,3
3629,5,4,4,3,3,3,3
3637,1,4,2,3,3,3,3
3638,6,4,1,3,3,3,3
3639,5,4,3,3,3,3,3
3644,2,4,5,3,3,3,3
3647,6,4,2,3,3,3,3
3648,2,4,1,1,3,1,1
3659,2,4,6,1,3,3,1
3671,1,4,5,1,3,2,1
3672,2,4,4,3,3,3,3
3675,4,4,5,3,3,3,3
3676,6,4,4,3,3,3,3
3679,4,4,3,3,3,3,3
3688,4,4,1,3,3,3,3
3689,1,4,1,3,3,3,3
3692,2,4,3,3,3,3,3
3702,5,4,5,3,3,3,3
3724,6,4,3,3,3,3,3
3729,2,4,6,1,3,3,1
3747,5,4,2,3,3,3,3
3751,2,4,5,1,3,2,1
3753,6,4,4,3,3,3,3
3763,2,4,6,3,3,3,3
3782,2,4,6,3,3,3,3
3784,2,4,1,1,3,1,1
3786,2,4,5,3,3,3,3
3798,6,4,1,3,3,3,3
3800,2,4,6,3,3,3,3
3812,2,4,6,1,3,3,1
3813,6,4,5,3,3,3,3
3818,1,4,3,1,3,2,1
3822,2,4,3,1,3,2,1
3826,1,4,4,1,3,3,1
3829,2,4,1,3,3,3,3
3846,2,4,4,1,3,3,1
3850,2,4,6,1,3,3,1
3855,2,4,1,1,3,1,1
3863,2,4,1,3,3,3,3
3866,2,4,4,1,3,3,1
3874,4,4,4,3,3,3,3
3875,6,4,4,3,3,3,3
3880,6,4,6,3,3,3,3
3894,2,4,1,1,3,1,1
3896,2,4,2,1,3,1,1
3916,2,4,2,1,3,1,1
3918,2,4,4,1,3,3,1
3923,5,4,6,3,3,3,3
3926,2,4,3,1,3,2,1
3944,1,4,6,1,3,3,1
3947,2,4,5,1,3,2,1
3950,2,4,5,1,3,2,1
3952,5,4,6,3,3,3,3
3954,2,4,1,1,3,1,1
3958,2,4,2,1,3,1,1
3963,2,4,3,3,3,3,3
3972,2,4,1,1,3,1,1
3973,6,4,5,3,3,3,3
3976,2,4,4,1,3,3,1
3983,6,4,1,3,3,3,3
3990,6,4,3,3,3,3,3
3995,2,4,6,1,3,3,1
4008,2,4,1,1,3,1,1
4026,2,4,2,1,3,1,1
4036,2,4,2,3,3,3,3
4050,2,4,5,1,3,2,1
4055,4,4,3,3,3,3,3
4056,2,4,4,1,3,3,1
4060,6,4,5,3,3,3,3
4065,2,4,5,1,3,2,1
4066,6,4,4,3,3,3,3
4072,2,4,5,1,3,2,1
4078,6,4,2,3,3,3,3
4081,2,4,1,1,3,1,1
4084,1,4,4,3,3,3,3
4093,2,4,2,1,3,1,1
4097,1,4,1,1,3,1,1
4099,2,4,4,1,3,3,1
4108,2,4,1,1,3,1,1
4112,6,4,5,3,3,3,3
4113,2,4,3,1,3,2,1
4127,2,4,5,3,3,3,3
4129,2,4,1,1,3,1,1
4130,2,4,1,1,3,1,1
4133,2,4,2,1,3,1,1
4136,6,4,5,3,3,3,3
4149,2,4,1,1,3,1,1
4153,2,4,3,1,3,2,1
4167,1,4,1,3,3,3,3
4174,2,4,6,3,3,3,3
4183,2,4,4,3,3,3,3
4192,6,4,2,3,3,3,3
4197,6,4,6,3,3,3,3
4207,2,4,5,1,3,2,1
4208,2,4,1,1,3,1,1
4210,2,4,1,3,3,3,3
4212,2,4,3,1,3,2,1
4217,2,4,4,1,3,3,1
4221,2,4,2,1,3,1,1
4223,6,4,4,3,3,3,3
4230,2,4,6,1,3,3,1
4251,2,4,2,1,3,1,1
4263,6,4,6,3,3,3,3
4267,2,4,4,1,3,3,1
4283,2,4,1,1,3,1,1
4285,2,4,3,1,3,2,1
4312,2,4,1,1,3,1,1
4321,1,4,4,1,3,3,1
4322,2,4,1,1,3,1,1
4325,2,4,6,1,3,3,1
4330,6,4,3,3,3,3,3
4331,2,4,2,1,3,1,1
4340,2,4,6,1,3,3,1
4341,2,4,3,1,3,2,1
4342,2,4,4,1,3,3,1
4347,1,4,3,1,3,2,1
4348,2,4,3,1,3,2,1
4352,2,4,3,1,3,2,1
4358,5,4,2,3,3,3,3
4361,6,4,3,3,3,3,3
4362,2,4,5,1,3,2,1
4369,2,4,4,1,3,3,1
4371,2,4,3,1,3,2,1
4372,2,4,4,1,3,3,1
4378,2,4,4,3,3,3,3
4387,2,4,3,1,3,2,1
4403,2,4,5,1,3,2,1
4410,2,4,1,1,3,1,1
4414,2,4,1,3,3,3,3
4416,4,4,6,3,3,3,3
4418,4,4,5,3,3,3,3
4431,2,4,6,1,3,3,1
4434,2,4,4,1,3,3,1
4439,2,4,4,1,3,3,1
4444,2,4,3,1,3,2,1
4455,2,4,4,1,3,3,1
4457,2,4,6,1,3,3,1
4468,2,4,2,1,3,1,1
4472,2,4,5,1,3,2,1
4490,6,4,6,3,3,3,3
4491,2,4,2,1,3,1,1
4496,2,4,5,1,3,2,1
4497,1,4,3,1,3,2,1
4501,6,4,2,3,3,3,3
4502,2,4,1,1,3,1,1
4506,2,4,3,1,3,2,1
4512,6,4,4,3,3,3,3
4528,1,4,1,1,3,1,1
4532,4,4,5,3,3,3,3
4536,6,4,6,3,3,3,3
4537,1,4,3,1,3,2,1
4538,4,4,3,3,3,3,3
4544,2,4,3,1,3,2,1
4547,2,4,3,1,3,2,1
4553,2,4,6,1,3,3,1
4568,2,4,3,1,3,2,1
4569,4,4,4,3,3,3,3
4583,1,4,2,1,3,1,1
4588,2,4,1,1,3,1,1
4598,6,4,3,3,3,3,3
4608,2,4,4,1,3,3,1
4614,2,4,2,1,3,1,1
4617,6,4,1,3,3,3,3
4618,2,4,1,1,3,1,1
4622,2,4,6,1,3,3,1
4623,6,4,1,3,3,3,3
4628,6,4,5,3,3,3,3
4635,2,4,5,1,3,2,1
4639,2,4,6,1,3,3,1
4641,2,4,6,1,3,3,1
4648,2,4,1,1,3,1,1
4649,2,4,2,1,3,1,1
4651,2,4,5,1,3,2,1
4653,2,4,1,1,3,1,1
4656,6,4,5,3,3,3,3
4659,2,4,6,1,3,3,1
4663,2,4,5,1,3,2,1
4667,2,4,2,1,3,1,1
4677,4,4,2,3,3,3,3
4680,2,4,6,1,3,3,1
4694,2,4,6,1,3,3,1
4702,2,4,2,1,3,1,1
4707,2,4,3,1,3,2,1
4716,2,4,5,1,3,2,1
4719,2,4,3,1,3,2,1
4722,2,4,6,1,3,3,1
4727,1,4,1,1,3,1,1
4738,1,4,4,1,3,3,1
4745,2,4,2,3,3,3,3
4749,2,4,1,1,3,1,1
4759,2,4,6,1,3,3,1
4760,2,4,3,1,3,2,1
4762,2,4,1,1,3,1,1
4763,6,4,1,3,3,3,3
4770,2,4,4,1,3,3,1
4775,2,4,2,1,3,1,1
4782,2,4,3,1,3,2,1
4796,2,4,6,3,3,3,3
4807,2,4,3,1,3,2,1
4820,2,4,2,1,3,1,1
4830,4,4,6,3,3,3,3
4837,5,4,4,3,3,3,3
4842,2,4,1,1,3,1,1
4851,2,4,1,1,3,1,1
4852,2,4,5,1,3,2,1
4853,2,4,5,1,3,2,1
4854,6,4,3,3,3,3,3
4859,6,4,2,3,3,3,3
