our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
15,2,4,3,3,3,3,3
142,2,4,3,2,2,3,1
177,2,4,4,2,2,2,1
205,2,4,2,3,3,3,3
228,2,4,2,2,2,2,1
296,2,4,3,2,2,3,1
303,2,4,4,2,2,2,1
324,2,4,2,2,2,2,1
331,2,4,3,2,2,3,1
398,2,4,4,2,2,2,1
432,2,4,2,2,2,2,1
482,2,4,4,2,2,2,1
530,2,4,4,2,2,2,1
548,2,4,4,2,2,2,1
594,2,4,4,3,3,3,3
613,2,4,2,2,2,2,1
641,2,4,2,2,2,2,1
648,2,4,4,2,2,2,1
669,2,4,4,3,3,3,3
676,2,4,1,2,2,3,1
771,2,4,2,2,2,2,1
778,2,4,4,2,2,2,1
813,2,4,4,2,2,2,1
889,2,4,4,2,2,2,1
896,2,4,1,3,1,2,1
909,2,4,4,2,2,2,1
916,2,4,3,2,2,3,1
984,2,4,1,3,3,3,3
1097,2,4,2,2,2,2,1
1118,2,4,4,2,2,2,1
1125,2,4,2,2,2,2,1
1188,2,4,3,2,2,3,1
1202,2,4,3,3,3,3,3
1244,2,4,3,3,3,3,3
1269,2,4,3,2,2,3,1
1276,2,4,4,3,3,3,3
1332,2,4,4,3,3,3,3
1375,2,4,4,3,3,3,3
1419,1,4,4,3,3,3,3
1426,2,4,4,3,3,3,3
1469,2,4,1,3,3,3,3
1604,2,4,2,2,2,2,1
1617,4,4,3,3,3,3,3
1633,4,4,4,3,3,3,3
1647,3,4,4,3,3,3,3
1684,4,4,4,3,3,3,3
1698,2,4,3,3,3,3,3
1838,4,4,2,3,3,3,3
1852,4,4,3,2,2,3,1
1887,4,4,1,3,3,3,3
1936,4,4,4,3,3,3,3
1956,4,4,4,3,3,3,3
2002,4,4,4,3,3,3,3
2023,4,4,2,3,3,3,3
2030,4,4,1,3,3,3,3
2051,4,4,3,3,3,3,3
2086,4,4,2,3,3,3,3
2113,4,4,1,3,3,3,3
2120,4,4,2,3,3,3,3
2127,4,4,1,2,2,3,1
2147,4,4,3,2,2,3,1
2154,4,4,2,3,3,3,3
2189,4,4,1,2,2,3,1
2223,4,4,4,2,2,2,1
2258,4,4,1,2,2,3,1
2300,4,4,3,3,3,3,3
2307,4,4,1,2,2,3,1
2335,2,4,2,3,3,3,3
2454,2,4,2,3,3,3,3
2504,4,4,3,3,3,3,3
2511,4,4,4,3,3,3,3
2637,4,4,4,3,3,3,3
2693,4,4,4,3,3,3,3
2728,4,4,4,3,3,3,3
2737,4,4,3,2,2,3,1
2792,4,4,2,2,2,2,1
2829,4,4,2,3,3,3,3
2972,4,4,2,2,2,2,1
2986,4,4,3,3,3,3,3
2993,4,4,1,3,3,3,3
3039,2,4,4,2,2,2,1
3088,4,4,1,2,2,3,1
3104,4,4,1,3,3,3,3
3134,2,4,3,2,2,3,1
3278,4,4,3,2,2,3,1
3303,4,4,1,3,3,3,3
3335,4,4,3,3,3,3,3
3360,4,4,2,3,3,3,3
3374,4,4,1,3,3,3,3
3388,4,4,4,3,3,3,3
3423,4,4,3,2,2,3,1
3492,4,4,4,3,3,3,3
3552,4,4,2,2,2,2,1
3608,4,4,3,2,2,3,1
3622,4,4,4,3,3,3,3
3657,4,4,4,3,3,3,3
3675,4,4,3,2,2,3,1
3710,4,4,3,2,2,3,1
3775,4,4,1,3,3,3,3
3789,4,4,3,2,2,3,1
3803,4,4,4,2,2,2,1
3819,4,4,1,3,3,3,3
3833,4,4,3,2,2,3,1
3853,4,4,2,2,2,2,1
3881,4,4,2,2,2,2,1
3996,4,4,2,2,2,2,1
4033,4,4,2,3,3,3,3
4145,4,4,2,2,2,2,1
4173,4,4,1,2,2,3,1
4180,4,4,3,2,2,3,1
4201,4,4,3,2,2,3,1
4222,2,4,3,3,1,1,1
4228,4,4,4,2,2,2,1
4302,4,4,4,3,3,3,3
4399,4,4,3,2,2,3,1
4406,4,4,1,2,2,3,1
4413,4,4,4,2,2,2,1
4436,4,4,4,2,2,2,1
4457,4,4,2,2,2,2,1
4492,4,4,3,3,3,3,3
4503,4,4,1,3,3,3,3
4604,2,4,4,2,2,2,1
4634,4,4,4,2,2,2,1
4669,4,4,2,3,3,3,3
4690,4,4,3,2,2,3,1
4711,4,4,3,3,3,3,3
4768,4,4,1,3,3,3,3
4796,4,4,2,3,3,3,3
4803,4,4,2,2,2,2,1
4810,4,4,3,3,3,3,3
4852,4,4,1,3,3,3,3
4924,4,4,3,3,3,3,3
4942,4,4,3,2,2,3,1
4989,4,4,4,3,3,3,3
5072,4,4,3,2,2,3,1
5113,4,4,4,2,2,2,1
5213,2,4,1,3,3,3,3
5280,4,4,2,2,2,2,1
5354,4,4,1,2,2,3,1
5382,4,4,3,3,3,3,3
5410,4,4,2,2,2,2,1
5417,4,4,3,2,2,3,1
5445,2,4,4,2,2,2,1
5512,4,4,1,3,3,3,3
5547,4,4,4,3,3,3,3
5554,4,4,3,2,2,3,1
5561,4,4,2,3,3,3,3
5577,2,4,2,2,2,2,1
5593,4,4,3,2,2,3,1
5614,4,4,3,2,2,3,1
5779,1,4,2,3,2,2,1
5860,4,4,2,2,2,2,1
5867,4,4,3,3,3,3,3
5906,4,4,2,2,2,2,1
5913,2,4,3,2,2,3,1
5938,2,4,4,2,2,2,1
6047,4,4,4,2,2,2,1
6077,4,4,4,2,2,2,1
6084,4,4,3,2,2,3,1
6139,4,4,3,3,3,3,3
6164,4,4,2,3,3,3,3
6187,2,4,3,2,2,3,1
6222,2,4,2,2,2,2,1
6236,2,4,4,2,2,2,1
6252,4,4,3,2,2,3,1
6281,4,4,3,3,3,3,3
6292,2,4,2,3,3,3,3
6306,4,4,1,3,3,3,3
6313,4,4,4,3,3,3,3
6327,2,4,2,2,2,2,1
6391,2,4,3,2,2,3,1
6419,2,4,4,2,2,2,1
6440,2,4,4,2,2,2,1
6474,2,4,1,2,2,3,1
6495,4,4,2,2,2,2,1
6625,2,4,4,2,2,2,1
6655,2,4,1,2,2,3,1
6669,2,4,3,3,3,3,3
6711,2,4,3,2,2,3,1
6824,2,4,2,2,2,2,1
6845,2,4,3,3,3,3,3
6852,2,4,2,3,3,3,3
6915,2,4,4,2,2,2,1
6943,2,4,1,2,2,3,1
6950,2,4,1,2,2,3,1
6978,2,4,1,2,2,3,1
7038,2,4,2,2,2,2,1
7045,2,4,3,2,2,3,1
7066,2,4,2,2,2,2,1
7115,2,4,1,2,2,3,1
7159,2,4,4,2,2,2,1
7201,2,4,3,2,2,3,1
7208,2,4,3,2,2,3,1
7263,2,4,3,2,2,3,1
7283,2,4,4,2,2,2,1
7290,2,4,3,2,2,3,1
7325,2,4,2,2,2,2,1
7339,2,4,3,2,2,3,1
7360,2,4,4,3,3,3,3
7411,2,4,3,2,2,3,1
7434,2,4,4,2,2,2,1
7462,2,4,2,3,1,3,1
7531,2,4,1,2,2,3,1
7538,2,4,3,2,2,3,1
7552,2,4,1,2,2,3,1
7587,2,4,3,2,2,3,1
7622,2,4,1,2,2,3,1
7650,2,4,4,3,3,3,3
7691,2,4,2,2,2,2,1
7726,2,4,3,2,2,3,1
7771,2,4,1,2,2,3,1
7855,2,4,1,2,2,3,1
7869,2,4,4,2,2,2,1
7876,2,4,2,1,3,1,1
7889,2,4,4,2,2,2,1
7917,2,4,4,2,2,2,1
7924,2,4,4,2,2,2,1
7931,2,4,3,2,2,3,1
7938,2,4,4,2,2,2,1
7952,2,4,1,2,2,3,1
7975,2,4,4,2,2,2,1
8010,4,4,3,3,3,3,3
8037,2,4,1,2,2,3,1
8086,2,4,3,2,2,3,1
8107,2,4,3,2,2,3,1
8121,2,4,3,2,2,3,1
8185,2,4,2,2,2,2,1
8192,2,4,4,3,3,3,3
8206,2,4,4,2,2,2,1
8220,2,4,4,2,2,2,1
8322,2,4,2,2,2,2,1
8375,2,4,1,3,3,3,3
8483,2,4,4,2,2,2,1
8557,2,4,3,2,2,3,1
8571,2,4,3,2,2,3,1
8587,2,4,3,3,3,3,3
8619,2,4,3,2,2,3,1
8664,2,4,3,3,3,3,3
8685,2,4,1,3,3,3,3
8799,2,4,2,2,2,2,1
8806,2,4,4,3,3,3,3
8831,2,4,4,2,2,2,1
8838,2,4,2,3,3,3,3
8856,2,4,2,2,2,2,1
8870,2,4,3,2,2,3,1
8954,2,4,1,3,3,3,3
