our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
26,2,4,3,2,2,3,1
77,2,4,1,3,3,3,3
84,4,4,1,3,3,3,3
95,4,4,1,2,2,3,1
111,4,4,2,3,3,3,3
119,2,4,3,2,2,3,1
149,2,4,3,2,2,3,1
266,2,4,2,2,2,2,1
273,2,4,4,2,2,2,1
310,2,4,1,2,2,3,1
317,2,4,2,2,2,2,1
361,2,4,4,2,2,2,1
368,2,4,2,2,2,2,1
405,2,4,3,2,2,3,1
414,2,4,1,2,2,3,1
425,2,4,2,2,2,2,1
453,2,4,2,2,2,2,1
475,2,4,1,2,2,3,1
489,2,4,2,2,2,2,1
530,2,4,1,2,2,3,1
555,2,4,4,3,3,3,3
569,2,4,2,2,2,2,1
641,2,4,2,2,2,2,1
648,2,4,3,2,2,3,1
716,2,4,1,3,3,3,3
732,2,4,3,2,2,3,1
792,2,4,3,2,2,3,1
799,2,4,1,2,2,3,1
820,2,4,4,2,2,2,1
843,2,4,2,3,3,3,3
885,2,4,1,2,2,3,1
930,2,4,4,3,3,3,3
942,2,4,2,2,2,2,1
949,4,4,4,3,3,3,3
1012,2,4,2,2,2,2,1
1037,2,4,4,2,2,2,1
1067,2,4,3,2,2,3,1
1118,2,4,3,2,2,3,1
1188,2,4,4,2,2,2,1
1223,2,4,1,2,2,3,1
1322,2,4,1,3,3,3,3
1332,2,4,2,3,3,3,3
1337,4,4,4,3,3,3,3
1375,4,4,2,3,3,3,3
1389,4,4,1,3,3,3,3
1405,4,4,3,2,2,3,1
1449,4,4,3,3,3,3,3
1518,4,4,1,2,2,3,1
1555,4,4,2,3,3,3,3
1569,4,4,4,3,3,3,3
1590,3,4,1,3,3,3,3
1617,4,4,2,3,3,3,3
1624,3,4,4,3,3,3,3
1670,4,4,3,3,3,3,3
1677,4,4,3,2,2,3,1
1719,4,4,1,2,2,3,1
1733,4,4,2,2,2,2,1
1764,4,4,2,3,3,3,3
1810,4,4,4,2,2,2,1
1922,4,4,4,2,2,2,1
2037,4,4,1,3,3,3,3
2147,4,4,3,2,2,3,1
2182,4,4,2,3,3,3,3
2300,4,4,1,3,3,3,3
2307,4,4,3,2,2,3,1
2321,4,4,4,3,3,3,3
2391,4,4,4,3,3,3,3
2405,4,4,1,3,3,3,3
2447,4,4,3,3,3,3,3
2567,2,4,1,2,2,3,1
2595,4,4,4,3,3,3,3
2602,4,4,4,3,3,3,3
2679,2,4,2,3,3,3,3
2686,4,4,3,3,3,3,3
2801,4,4,1,2,2,3,1
2838,4,4,3,3,3,3,3
2879,2,4,1,2,2,3,1
2921,4,4,4,2,2,2,1
2972,4,4,4,2,2,2,1
2979,4,4,3,3,3,3,3
3007,4,4,1,3,3,3,3
3039,4,4,2,2,2,2,1
3074,4,4,1,3,3,3,3
3120,4,4,2,3,3,3,3
3127,4,4,1,2,2,3,1
3223,2,4,2,3,3,3,3
3246,4,4,2,3,3,3,3
3257,2,4,3,2,2,3,1
3303,2,4,1,3,3,3,3
3388,4,4,1,3,3,3,3
3402,4,4,2,3,3,3,3
3409,4,4,2,2,2,2,1
3423,4,4,2,2,2,2,1
3485,2,4,3,2,2,3,1
3573,4,4,1,2,2,3,1
3587,4,4,3,2,2,3,1
3594,4,4,3,2,2,3,1
3643,2,4,2,2,2,2,1
3696,4,4,3,3,3,3,3
3703,2,4,2,3,3,3,3
3782,4,4,2,3,3,3,3
3853,4,4,4,2,2,2,1
3888,4,4,2,2,2,2,1
3895,4,4,4,2,2,2,1
3923,4,4,4,2,2,2,1
3964,4,4,1,3,3,3,3
3982,4,4,1,2,2,3,1
3989,4,4,1,3,3,3,3
4096,4,4,3,3,3,3,3
4103,4,4,4,2,2,2,1
4159,4,4,2,3,3,3,3
4260,4,4,3,3,3,3,3
4328,4,4,1,3,3,3,3
4429,4,4,1,3,3,3,3
4503,2,4,2,3,3,3,3
4517,4,4,4,3,3,3,1
4521,4,4,4,3,3,3,3
4528,4,4,1,2,2,3,1
4627,2,4,3,2,2,3,1
4641,2,4,2,2,2,2,1
4662,4,4,4,3,3,3,3
4676,4,4,1,2,2,3,1
4747,2,4,1,2,2,3,1
4754,2,4,3,3,3,3,3
4796,2,4,4,3,3,3,3
4852,4,4,4,3,3,3,3
4866,4,4,4,2,2,2,1
4873,4,4,3,2,2,3,1
4887,4,4,3,2,2,3,1
4908,4,4,3,2,2,3,1
4963,4,4,1,3,3,3,3
4982,4,4,1,2,2,3,1
5072,4,4,4,2,2,2,1
5138,4,4,3,2,2,3,1
5165,4,4,3,2,2,3,1
5172,4,4,2,1,1,3,1
5185,4,4,4,2,2,2,1
5259,4,4,2,2,2,2,1
5322,4,4,2,2,2,2,1
5354,4,4,2,2,2,2,1
5368,4,4,2,2,2,2,1
5396,2,4,3,2,2,3,1
5512,2,4,1,3,3,3,3
5656,4,4,1,2,2,3,1
5712,4,4,4,2,2,2,1
5892,4,4,2,2,2,2,1
5973,4,4,3,2,2,3,1
5980,4,4,2,2,2,2,1
6047,2,4,4,2,2,2,1
6061,4,4,1,3,3,3,3
6150,4,4,1,2,2,3,1
6157,4,4,3,2,2,3,1
6178,4,4,2,2,2,2,1
6187,4,4,2,2,2,2,1
6327,4,4,3,2,2,3,1
6369,4,4,3,2,2,3,1
6412,4,4,1,2,2,3,1
6433,4,4,2,2,2,2,1
6440,4,4,1,2,2,3,1
6447,4,4,1,3,3,3,3
6454,4,4,3,3,3,3,3
6474,2,4,2,2,2,2,1
6488,4,4,1,2,2,3,1
