our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3351,5,4,1,2,3,1,1
3352,4,4,1,3,3,3,3
3362,1,4,4,1,3,3,1
3366,1,4,5,1,3,2,1
3368,4,4,3,3,3,3,3
3370,1,4,1,1,3,1,1
3371,5,4,5,2,3,2,1
3374,4,4,3,3,3,3,3
3390,1,4,1,1,3,1,1
3395,6,4,2,3,3,3,3
3402,1,4,5,1,3,2,1
3405,1,4,3,3,3,3,3
3416,1,4,4,1,3,3,1
3423,5,4,4,3,3,3,3
3424,4,4,6,3,3,3,3
3434,4,4,3,3,3,3,3
3441,1,4,6,1,3,3,1
3452,6,4,1,3,3,3,3
3460,6,4,1,3,3,3,3
3462,1,4,5,1,3,2,1
3468,4,4,4,3,3,3,3
3479,1,4,3,3,3,3,3
3482,3,4,4,2,3,3,1
3485,1,4,4,1,3,3,1
3498,1,4,2,1,3,1,1
3501,2,4,6,1,3,3,1
3502,4,4,2,3,3,1,1
3507,1,4,4,1,3,3,1
3510,1,4,3,1,3,2,1
3515,4,4,6,3,3,3,3
3518,4,4,4,3,3,3,3
3519,1,4,1,1,3,1,1
3521,4,4,6,3,3,3,3
3531,1,4,5,1,3,2,1
3538,6,4,4,3,3,3,3
3539,4,4,1,3,3,3,3
3541,6,4,3,3,3,3,3
3552,4,4,4,3,3,3,3
3555,1,4,2,1,3,1,1
3559,1,4,1,1,3,1,1
3563,4,4,4,3,3,3,1
3565,1,4,4,3,3,3,3
3571,4,4,1,3,3,3,3
3579,4,4,2,3,3,3,3
3586,4,4,1,3,3,3,3
3594,3,4,4,2,3,3,1
3596,1,4,2,1,3,1,1
3597,1,4,2,3,3,3,3
3608,6,4,1,3,3,3,3
3619,1,4,5,1,3,2,1
3621,1,4,3,3,3,3,3
3622,4,4,1,3,3,3,3
3639,4,4,1,3,3,3,3
3645,5,4,4,2,3,3,1
3648,1,4,3,1,3,2,1
3652,4,4,4,3,3,3,3
3654,1,4,5,1,3,2,1
3655,4,4,3,3,3,3,3
3664,5,4,5,3,3,3,3
3665,3,4,1,3,3,3,3
3672,1,4,5,3,3,3,3
3680,4,4,5,3,3,3,3
3683,1,4,4,3,3,3,3
3689,6,4,2,3,3,3,3
3693,5,4,2,3,3,3,3
3702,5,4,6,3,3,3,3
3707,4,4,2,3,3,3,3
3719,1,4,3,1,3,2,1
3724,4,4,2,3,3,3,3
3730,6,4,2,3,3,3,3
3742,1,4,2,1,3,1,1
3751,3,4,2,2,3,1,1
3753,4,4,2,3,3,3,3
3760,5,4,3,3,3,3,3
3767,1,4,1,1,3,1,1
3768,6,4,1,3,3,3,3
3776,4,4,1,3,3,3,3
3785,1,4,3,1,3,2,1
3795,1,4,2,1,3,1,1
3840,6,4,6,3,3,3,3
3841,1,4,2,1,3,1,1
3843,4,4,2,3,3,3,3
3859,4,4,5,3,3,3,3
3879,6,4,1,3,3,3,3
3882,1,4,5,1,3,2,1
3886,6,4,3,3,3,3,3
3890,1,4,4,1,3,3,1
3891,1,4,1,1,3,1,1
3893,1,4,6,1,3,3,1
3899,4,4,1,3,3,3,3
3913,1,4,1,1,3,1,1
3916,1,4,5,1,3,2,1
3919,1,4,3,3,3,3,3
3923,5,4,1,3,3,3,3
3926,1,4,4,1,3,3,1
3927,1,4,6,1,3,3,1
3928,1,4,6,3,3,3,3
3931,4,4,4,3,3,3,3
3944,1,4,4,1,3,3,1
3948,1,4,1,1,3,1,1
3955,3,4,5,2,3,2,1
3960,1,4,5,1,3,2,1
3965,1,4,2,1,3,1,1
3969,6,4,2,3,3,3,3
3973,4,4,3,3,3,3,3
3975,1,4,6,1,3,3,1
3976,3,4,6,2,3,3,1
3987,1,4,2,1,3,1,1
3990,4,4,2,3,3,3,3
3997,1,4,3,1,3,2,1
3998,3,4,4,2,3,3,1
4000,3,4,4,2,3,3,1
4004,4,4,1,3,3,3,3
4022,4,4,4,3,3,3,3
4023,4,4,5,3,3,2,1
4026,1,4,2,1,3,1,1
4033,5,4,4,3,3,3,3
4041,1,4,2,1,3,1,1
4043,1,4,2,1,3,1,1
4045,6,4,5,3,3,2,1
4047,4,4,1,3,3,3,3
4050,2,4,2,1,3,1,1
4065,1,4,6,1,3,3,1
4075,4,4,6,3,3,3,3
4079,6,4,2,3,3,3,3
4083,4,4,2,3,3,3,3
4090,1,4,2,1,3,1,1
4095,4,4,3,3,3,3,3
4098,3,4,6,2,3,3,1
4099,1,4,5,1,3,2,1
4110,1,4,4,1,3,3,1
4112,4,4,3,3,3,3,3
4115,1,4,2,1,3,1,1
4120,1,4,5,1,3,2,1
4125,1,4,4,1,3,3,1
4128,4,4,3,3,3,3,3
4129,1,4,1,1,3,1,1
4136,4,4,4,3,3,3,3
4156,1,4,4,3,3,3,3
4157,1,4,5,1,3,2,1
4159,1,4,3,1,3,2,1
4191,3,4,6,3,3,3,3
4192,4,4,6,3,3,3,3
4209,1,4,2,1,3,1,1
4217,2,4,1,1,3,1,1
4233,6,4,3,3,3,3,3
4239,3,4,4,2,3,3,1
4245,4,4,4,3,3,3,3
4246,1,4,1,1,3,1,1
4261,1,4,5,1,3,2,1
4263,3,4,4,3,3,3,3
4275,1,4,3,1,3,2,1
4276,4,4,6,3,3,3,3
4280,3,4,5,2,3,2,1
4281,6,4,4,3,3,3,3
4284,3,4,1,2,3,1,1
4293,3,4,3,2,3,2,1
4294,3,4,2,2,3,1,1
4303,1,4,4,1,3,3,1
4305,3,4,1,2,3,1,1
4308,1,4,2,1,3,1,1
4331,3,4,2,2,3,1,1
4341,1,4,3,1,3,2,1
4347,1,4,5,1,3,2,1
4349,1,4,1,1,3,1,1
4358,6,4,3,3,3,3,3
4361,6,4,6,3,3,3,3
4363,2,4,5,1,3,2,1
4365,3,4,1,2,3,1,1
4375,4,4,6,3,3,3,3
4376,4,4,4,3,3,3,3
4378,6,4,4,3,3,3,3
4385,1,4,2,1,3,1,1
4387,1,4,1,1,3,1,1
4396,6,4,6,3,3,3,3
4402,1,4,3,1,3,2,1
4406,1,4,6,1,3,3,1
4414,3,4,2,3,3,3,3
4415,6,4,3,3,3,3,3
4421,3,4,6,2,3,3,1
4424,1,4,1,1,3,1,1
4429,1,4,4,1,3,3,1
4430,1,4,2,1,3,1,1
4437,1,4,2,1,3,1,1
4440,6,4,3,3,3,3,3
4445,1,4,5,1,3,2,1
4448,1,4,4,1,3,3,1
4453,4,4,5,3,3,3,3
4456,1,4,4,1,3,3,1
4464,5,4,3,3,3,3,3
4478,1,4,1,1,3,1,1
4480,1,4,1,1,3,1,1
