our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
63,4,4,2,2,2,2,1
77,4,4,3,3,3,3,3
95,4,4,4,2,2,2,1
142,4,4,1,2,2,3,1
156,4,4,2,2,2,2,1
228,4,4,3,2,2,3,1
259,4,4,1,2,2,3,1
266,4,4,2,2,2,2,1
317,4,4,1,2,2,3,1
340,4,4,3,2,2,3,1
509,4,4,1,2,2,3,1
594,4,4,4,3,3,3,3
599,4,4,4,2,2,2,1
627,4,4,3,2,2,3,1
669,4,4,1,3,3,3,3
716,4,4,1,3,3,3,3
764,4,4,4,3,3,3,3
771,4,4,1,2,2,3,1
850,4,4,4,2,2,2,1
896,4,4,4,1,1,1,1
916,4,4,1,2,2,3,1
937,4,4,3,3,3,3,3
942,4,4,3,2,2,3,1
1026,4,4,1,3,3,3,3
1074,4,4,2,2,2,2,1
1090,4,4,4,2,2,2,1
1097,4,4,3,2,2,3,1
1146,4,4,1,2,2,3,1
1153,4,4,3,2,2,3,1
1160,4,4,3,2,2,3,1
1167,4,4,4,2,2,2,1
1174,4,4,3,2,2,3,1
1195,4,4,3,2,2,3,1
1262,4,4,2,2,2,2,1
1301,4,4,3,2,2,3,1
1327,4,4,4,3,3,3,3
1562,4,4,3,3,3,3,3
1654,4,4,1,3,3,3,3
1677,4,4,1,2,2,3,1
1733,4,4,2,2,2,2,1
1873,4,4,4,2,2,2,1
1894,4,4,3,3,3,3,3
1908,4,4,3,3,3,3,3
1915,4,4,1,2,2,3,1
1922,4,4,4,2,2,2,1
1929,4,4,4,3,3,3,3
1956,4,4,4,3,3,3,3
1974,4,4,4,2,2,2,1
2002,4,4,1,3,3,3,3
2016,4,4,3,2,2,3,1
2023,4,4,2,3,3,3,3
2037,4,4,3,3,3,3,3
2079,4,4,3,3,3,3,3
2113,4,4,2,3,3,3,3
2154,4,4,1,3,3,3,3
2161,4,4,4,3,3,3,3
2175,4,4,4,2,2,2,1
2196,4,4,3,3,3,3,3
2244,4,4,2,3,3,3,3
2265,4,4,4,3,3,3,3
2272,4,4,4,3,3,3,3
2293,4,4,3,3,3,3,3
2321,4,4,4,3,3,3,3
2335,4,4,3,3,3,3,3
2349,4,4,1,3,3,3,3
2370,4,4,1,2,2,3,1
2384,4,4,4,3,3,3,3
2412,4,4,4,3,3,3,3
2426,4,4,2,3,3,3,3
2490,4,4,2,2,2,2,1
2567,4,4,3,2,2,3,1
2679,4,4,2,3,3,3,3
2686,4,4,3,3,3,3,3
2744,4,4,1,2,2,3,1
2751,4,4,1,3,3,3,3
2772,4,4,3,3,3,3,3
2822,4,4,3,2,2,3,1
2838,4,4,4,3,3,3,3
2879,4,4,1,2,2,3,1
3000,4,4,2,3,3,3,3
3021,4,4,3,2,2,3,1
3046,4,4,4,3,3,3,3
3074,4,4,3,3,3,3,3
3095,4,4,1,3,3,3,3
3141,4,4,4,3,3,3,3
3207,4,4,2,3,3,3,3
3264,4,4,1,2,2,3,1
3285,4,4,4,3,3,3,3
3303,4,4,2,3,3,3,3
3335,4,4,3,3,3,3,3
3353,4,4,2,2,2,2,1
3374,4,4,2,3,3,3,3
3381,4,4,1,2,2,3,1
3395,4,4,1,2,2,3,1
3409,4,4,2,2,2,2,1
3430,4,4,4,3,3,3,3
3453,4,4,2,2,2,2,1
3531,4,4,4,3,3,3,3
3559,4,4,4,3,3,3,3
3573,4,4,2,2,2,2,1
3608,4,4,1,2,2,3,1
3668,4,4,2,2,2,2,1
3703,4,4,2,3,3,3,3
3745,4,4,2,2,2,2,1
3754,4,4,3,3,3,3,3
3810,4,4,4,2,2,2,1
3819,4,4,3,3,3,3,3
3826,4,4,3,3,3,3,3
3895,4,4,4,2,2,2,1
3902,4,4,1,2,2,3,1
3916,4,4,4,2,2,2,1
3957,4,4,1,2,2,3,1
3996,4,4,1,2,2,3,1
4003,4,4,1,3,3,3,3
