our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
1,4,4,2,2,2,2,1
77,2,4,3,3,3,3,3
177,2,4,4,2,2,2,1
243,2,4,1,3,3,3,3
296,4,4,4,2,2,2,1
324,4,4,2,2,2,2,1
331,2,4,3,2,2,3,1
368,4,4,2,2,2,2,1
421,2,4,2,3,3,3,3
489,2,4,4,2,2,2,1
537,4,4,4,3,3,3,3
548,2,4,3,2,2,3,1
555,2,4,2,3,3,3,3
562,4,4,4,2,2,2,1
627,4,4,1,2,2,3,1
634,4,4,1,2,2,3,1
641,2,4,4,2,2,2,1
662,2,4,1,2,2,3,1
690,2,4,3,2,2,3,1
757,2,4,2,2,2,2,1
785,4,4,3,2,2,3,1
792,2,4,1,2,2,3,1
799,2,4,2,2,2,2,1
827,2,4,1,2,2,3,1
843,2,4,2,3,3,3,3
871,4,4,2,2,2,2,1
885,2,4,2,2,2,2,1
930,2,4,1,3,3,3,3
963,4,4,4,2,2,2,1
984,2,4,3,3,3,3,3
1090,2,4,3,2,2,3,1
1111,2,4,1,2,2,3,1
1146,2,4,2,2,2,2,1
1269,2,4,2,2,2,2,1
1294,2,4,4,2,2,2,1
1315,2,4,2,2,2,2,1
1426,2,4,4,3,3,3,3
1449,2,4,3,3,3,3,3
1504,3,4,1,3,3,3,3
1511,4,4,2,3,3,3,3
1534,2,4,1,3,3,3,3
1555,2,4,4,3,3,3,3
1576,4,4,1,3,3,3,3
1617,4,4,3,3,3,3,3
1663,4,4,2,3,3,3,3
1733,2,4,4,2,2,2,1
1789,3,4,2,3,3,3,3
1810,4,4,4,2,2,2,1
1831,2,4,2,3,3,3,3
1838,4,4,1,3,3,3,3
1859,2,4,4,3,3,3,3
1908,4,4,2,3,3,3,3
1915,4,4,2,2,2,2,1
1922,4,4,1,2,2,3,1
1956,4,4,3,3,3,3,3
1995,4,4,4,2,2,2,1
2086,4,4,1,3,3,3,3
2099,4,4,2,3,3,3,3
2120,4,4,3,3,3,3,3
2134,4,4,3,1,1,1,1
2175,4,4,3,2,2,3,1
2230,4,4,3,3,3,3,3
2251,4,4,4,3,3,3,3
2272,4,4,2,3,3,3,3
2356,2,4,4,3,3,3,3
2440,2,4,1,3,3,3,3
2454,2,4,2,3,3,3,3
2504,4,4,1,3,3,3,3
