our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
1,4,4,3,2,2,3,1
26,4,4,2,2,2,2,1
63,4,4,1,2,2,3,1
70,4,4,3,2,2,3,1
84,3,4,2,3,3,3,3
104,4,4,3,2,2,3,1
142,4,4,2,2,2,2,1
221,4,4,3,2,2,3,1
243,4,4,4,3,3,3,3
324,4,4,1,2,2,3,1
331,4,4,1,2,2,3,1
391,4,4,3,2,2,3,1
405,4,4,1,2,2,3,1
523,4,4,2,2,2,2,1
589,4,4,1,3,3,3,3
634,4,4,2,2,2,2,1
655,4,4,2,2,2,2,1
662,4,4,3,2,2,3,1
676,4,4,3,2,2,3,1
697,4,4,3,3,3,3,3
785,4,4,2,2,2,2,1
792,4,4,3,2,2,3,1
820,4,4,2,2,2,2,1
896,2,4,3,3,1,1,1
937,4,4,3,3,3,3,3
949,4,4,1,3,3,3,3
984,4,4,3,3,3,3,3
1012,4,4,4,2,2,2,1
1044,4,4,1,2,2,3,1
1060,4,4,4,2,2,2,1
1074,4,4,3,2,2,3,1
1118,4,4,4,2,2,2,1
1139,4,4,1,2,2,3,1
1181,4,4,4,2,2,2,1
1195,4,4,1,2,2,3,1
1230,4,4,4,3,3,3,3
1405,3,4,1,3,2,3,1
1504,2,4,2,3,3,3,3
1518,3,4,4,3,2,2,1
1548,3,4,4,3,2,2,1
1562,4,4,4,3,3,3,3
1604,3,4,1,3,2,3,1
1719,4,4,2,2,2,2,1
1750,3,4,1,3,3,3,3
1775,4,4,2,2,2,2,1
1782,3,4,1,3,3,3,3
1789,3,4,3,3,3,3,3
1845,3,4,2,3,3,3,3
1859,3,4,2,3,3,3,3
1949,4,4,2,3,3,3,3
1988,4,4,2,2,2,2,1
2016,4,4,2,2,2,2,1
2030,4,4,3,3,3,3,3
2065,4,4,1,3,3,3,3
2161,4,4,3,3,3,3,3
2168,3,4,4,3,2,2,1
2182,4,4,1,3,3,3,3
2251,4,4,1,3,3,3,3
2258,4,4,1,2,2,3,1
2321,3,4,1,3,3,3,3
2384,3,4,1,3,3,3,3
2398,3,4,2,3,3,3,3
2412,3,4,2,3,3,3,3
2426,3,4,1,3,3,3,3
2433,3,4,2,3,2,2,1
2447,3,4,2,3,3,3,3
2454,3,4,4,3,3,3,3
2476,4,4,2,2,2,2,1
2497,4,4,2,3,3,3,3
2602,4,4,2,3,3,3,3
2686,4,4,2,3,3,3,3
2772,4,4,3,3,3,3,3
2786,4,4,2,1,1,3,1
2829,4,4,1,3,3,3,3
2861,2,4,4,2,2,2,1
2868,4,4,1,2,2,3,1
2886,2,4,2,3,3,3,3
2900,4,4,2,3,3,3,3
2907,2,4,1,3,3,3,3
2965,2,4,4,2,2,2,1
2972,2,4,1,2,2,3,1
2986,4,4,3,3,3,3,3
3067,3,4,1,3,3,3,3
3074,3,4,3,3,3,3,3
3104,4,4,4,3,3,3,3
3120,4,4,1,3,3,3,3
3164,3,4,2,3,3,3,3
3223,2,4,4,3,3,3,3
3239,4,4,3,3,3,3,3
3303,2,4,4,3,3,3,3
3335,4,4,2,3,3,3,3
3367,4,4,4,3,3,3,3
3402,4,4,3,3,3,3,3
3416,4,4,2,2,2,2,1
3423,4,4,4,2,2,2,1
3460,4,4,2,3,3,3,3
3469,2,4,1,2,2,3,1
3492,2,4,1,3,3,3,3
3517,4,4,1,3,3,3,3
3566,2,4,3,2,2,3,1
3594,4,4,1,2,2,3,1
3608,4,4,2,2,2,2,1
3629,2,4,2,3,3,3,3
3650,4,4,1,2,2,3,1
3738,4,4,4,3,3,3,3
3761,2,4,4,3,3,3,3
3775,4,4,4,3,3,3,3
3810,2,4,2,2,2,2,1
3895,4,4,3,2,2,3,1
3930,4,4,4,3,3,3,3
3964,4,4,3,3,3,3,3
4017,4,4,1,3,3,3,3
4061,2,4,2,3,3,3,3
4068,4,4,4,2,2,2,1
4075,4,4,1,2,2,3,1
4089,4,4,1,3,3,3,3
4124,4,4,1,3,3,3,3
4159,4,4,1,3,3,3,3
4166,4,4,4,2,2,2,1
4187,4,4,1,3,3,3,3
4242,4,4,1,3,3,3,3
4371,4,4,1,2,2,3,1
4378,4,4,1,3,3,3,3
4406,4,4,2,2,2,2,1
4429,4,4,1,3,3,3,3
4443,4,4,3,3,3,3,3
4450,4,4,2,2,2,2,1
4464,4,4,3,2,2,3,1
4471,4,4,3,3,3,3,3
4503,2,4,3,3,3,3,3
4579,4,4,2,3,3,3,3
4597,4,4,4,2,2,2,1
4634,2,4,4,2,2,2,1
4655,4,4,1,2,2,3,1
4768,1,4,2,3,3,3,3
4789,2,4,3,2,2,3,1
4859,4,4,1,2,2,3,1
4873,4,4,3,2,2,3,1
4880,4,4,4,3,3,3,3
4924,4,4,3,3,3,3,3
4968,2,4,4,2,2,2,1
4975,4,4,1,3,3,3,3
4996,4,4,4,3,3,3,3
5003,4,4,1,3,3,3,3
5072,4,4,1,2,2,3,1
5156,4,4,4,2,2,2,1
5220,4,4,2,3,3,3,3
5287,4,4,3,2,2,3,1
5308,4,4,4,3,3,3,3
5375,4,4,1,2,2,3,1
5410,4,4,3,2,2,3,1
5417,4,4,3,2,2,3,1
5438,4,4,1,3,3,3,3
5491,4,4,1,2,2,3,1
5519,4,4,1,2,2,3,1
5600,4,4,1,2,2,3,1
5621,2,4,4,2,2,2,1
5684,4,4,3,3,3,3,3
5751,4,4,4,2,2,2,1
5800,2,4,4,2,2,2,1
5825,4,4,2,2,2,2,1
5860,4,4,1,2,2,3,1
5938,2,4,2,2,2,2,1
5973,3,4,2,3,2,2,1
5987,4,4,1,2,2,3,1
5994,4,4,4,3,3,3,3
6008,2,4,4,3,3,3,3
6054,4,4,1,3,3,3,3
6077,4,4,1,2,2,3,1
6121,4,4,4,3,3,3,3
6150,3,4,1,3,2,3,1
6187,3,4,2,3,2,2,1
6194,4,4,3,2,2,3,1
6201,4,4,1,2,2,3,1
6208,4,4,3,2,2,3,1
6215,3,4,4,3,3,3,3
6222,4,4,3,2,2,3,1
6320,3,4,3,3,2,3,1
6375,4,4,4,2,2,2,1
6391,4,4,1,2,2,3,1
6454,3,4,4,3,3,3,3
6463,4,4,1,3,3,3,3
6481,4,4,1,2,2,3,1
6697,2,4,4,2,2,2,1
6769,4,4,1,2,2,3,1
6783,4,4,1,2,2,3,1
6831,2,4,4,2,2,2,1
6873,4,4,2,2,2,2,1
6880,4,4,3,2,2,3,1
6887,4,4,4,2,2,2,1
6901,4,4,1,2,2,3,1
6929,4,4,1,2,2,3,1
6985,4,4,3,2,2,3,1
6992,4,4,3,2,2,3,1
7080,4,4,3,2,2,3,1
7108,4,4,3,2,2,3,1
7122,4,4,4,2,2,2,1
7138,4,4,4,2,2,2,1
7145,4,4,1,2,2,3,1
7187,4,4,3,2,2,3,1
7222,4,4,2,2,2,2,1
7229,4,4,2,2,2,2,1
7245,4,4,3,2,2,3,1
7304,4,4,1,2,2,3,1
7360,4,4,1,3,3,3,3
7418,4,4,1,2,2,3,1
7489,4,4,2,2,2,2,1
7538,4,4,1,2,2,3,1
7552,4,4,3,2,2,3,1
7580,4,4,3,3,3,3,3
7636,4,4,3,2,2,3,1
7691,4,4,1,2,2,3,1
7705,4,4,2,2,2,2,1
7748,4,4,1,2,2,3,1
7764,4,4,3,2,2,3,1
7771,4,4,3,2,2,3,1
7778,4,4,2,2,2,2,1
7848,4,4,4,2,2,2,1
7855,4,4,2,2,2,2,1
7896,4,4,2,2,2,2,1
7989,4,4,4,2,2,2,1
8017,4,4,2,3,3,3,3
8024,4,4,2,2,2,2,1
8037,4,4,4,2,2,2,1
8044,4,4,1,2,2,3,1
8121,4,4,1,2,2,3,1
8128,4,4,3,3,3,3,3
8142,4,4,1,3,3,3,3
8153,4,4,1,3,3,3,3
8164,4,4,2,2,2,2,1
8206,4,4,3,2,2,3,1
8213,4,4,4,2,2,2,1
8248,2,4,1,2,2,3,1
8329,4,4,1,2,2,3,1
8476,4,4,3,3,3,3,3
8522,4,4,1,2,2,3,1
8612,4,4,1,2,2,3,1
8749,4,4,3,3,3,2,1
8831,4,4,2,2,2,2,1
8891,4,4,2,2,2,2,1
8898,4,4,1,2,2,3,1
8905,4,4,4,2,2,2,1
